batter,runs,balls,fours,sixes,strike_rate,dismissal
Aiden Markram,30,21,5,1,142.86,c Washington Sundar b Prasidh Krishna
Mitchell Marsh,11,4,1,1,275.0,c Shubman Gill b Kagiso Rabada
Rishabh Pant,18,11,2,1,163.64,c Rahul Tewatia b Mohammed Siraj
Ayush Badoni,9,11,1,0,81.82,c Glenn Phillips b Prasidh Krishna
Nicholas Pooran,19,21,0,2,90.48,c Shubman Gill b Prasidh Krishna
Abdul Samad,18,22,2,0,81.82,c Glenn Phillips b Ashok Sharma
Mukul Choudhary,18,14,1,1,128.57,c Jos Buttler b Prasidh Krishna
George Linde,16,10,3,0,160.0,c Shahrukh Khan b Ashok Sharma
Mohammed Shami,12,5,1,1,240.0,not out
Avesh Khan,4,1,1,0,400.0,not out
