batter,runs,balls,fours,sixes,strike_rate,dismissal
Mitchell Marsh,40,32,3,2,125.0,b Krunal Pandya
Aiden Markram,12,8,0,1,150.0,c Devdutt Padikkal b Rasikh Salam Dar
Rishabh Pant,1,6,0,0,16.67,c Phil Salt b Bhuvneshwar Kumar
Nicholas Pooran,1,7,0,0,14.29,b Josh Hazlewood
Ayush Badoni,38,24,4,1,158.33,c Jitesh Sharma b Rasikh Salam Dar
Abdul Samad,0,2,0,0,0.0,c Rajat Patidar b Krunal Pandya
Mukul Choudhary,39,28,3,2,139.29,b Rasikh Salam Dar
George Linde,7,7,1,0,100.0,c Tim David b Bhuvneshwar Kumar
Mohammed Shami,0,1,0,0,0.0,b Bhuvneshwar Kumar
Avesh Khan,1,2,0,0,50.0,b Rasikh Salam Dar
Digvesh Singh Rathi,0,3,0,0,0.0,not out
