batter,runs,balls,fours,sixes,strike_rate,dismissal
Tim Seifert,19,14,2,1,135.71,c Glenn Phillips b Kagiso Rabada
Ajinkya Rahane,0,1,0,0,0.0,c Kagiso Rabada b Mohammed Siraj
Angkrish Raghuvanshi,8,4,2,0,200.0,c Jos Buttler b Kagiso Rabada
Cameron Green,79,55,7,4,143.64,c Jos Buttler b Rashid Khan
Rovman Powell,27,20,2,2,135.0,c Mohammed Siraj b Ashok Sharma
Anukul Roy,9,7,1,0,128.57,c Jos Buttler b Prasidh Krishna
Rinku Singh,1,2,0,0,50.0,c Jos Buttler b Kagiso Rabada
Ramandeep Singh,17,8,2,1,212.5,c Mohammed Siraj b Ashok Sharma
Sunil Narine,0,5,0,0,0.0,c Glenn Phillips b Mohammed Siraj
Kartik Tyagi,6,4,0,1,150.0,run out (Jos Buttler/Prasidh Krishna)
Vaibhav Arora,0,1,0,0,0.0,not out
