batter,runs,balls,fours,sixes,strike_rate,dismissal
Abhishek Sharma,59,22,6,4,268.18,c Sanju Samson b Jamie Overton
Travis Head,23,20,3,1,115.0,c Ruturaj Gaikwad b Mukesh Choudhary
Ishan Kishan,0,1,0,0,0.0,c Ruturaj Gaikwad b Mukesh Choudhary
Heinrich Klaasen,59,39,6,2,151.28,b Anshul Kamboj
Aniket Verma,2,4,0,0,50.0,c Noor Ahmad b Jamie Overton
Nitish Kumar Reddy,12,8,0,1,150.0,c Matthew Short b Jamie Overton
Salil Arora,13,12,2,0,108.33,c Dewald Brevis b Gurjapneet Singh
Liam Livingstone,1,5,0,0,20.0,c Dewald Brevis b Anshul Kamboj
Shivang Kumar,12,8,1,1,150.0,c Gurjapneet Singh b Anshul Kamboj
Praful Hinge,0,1,0,0,0.0,not out
