batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,39,29,4,2,134.48,c Ajinkya Rahane b Sunil Narine
Vaibhav Sooryavanshi,46,28,6,2,164.29,c Ramandeep Singh b Varun Chakaravarthy
Dhruv Jurel,5,7,0,0,71.43,st Tim Seifert b Varun Chakaravarthy
Riyan Parag,12,14,1,0,85.71,b Varun Chakaravarthy
Shimron Hetmyer,15,18,0,0,83.33,c Angkrish Raghuvanshi b Kartik Tyagi
Donovan Ferreira,7,7,0,1,100.0,c and b Sunil Narine
Ravindra Jadeja,9,7,1,0,128.57,c Cameron Green b Kartik Tyagi
Jofra Archer,8,5,1,0,160.0,run out (Vaibhav Arora/Tim Seifert)
Ravi Bishnoi,0,2,0,0,0.0,c Tim Seifert b Kartik Tyagi
Brijesh Sharma,1,3,0,0,33.33,not out
