batter,runs,balls,fours,sixes,strike_rate,dismissal
Mitchell Marsh,55,41,6,2,134.15,c Riyan Parag b Nandre Burger
Ayush Badoni,0,1,0,0,0.0,run out ((sub)Ravi Singh)
Rishabh Pant,0,3,0,0,0.0,c Dhruv Jurel b Nandre Burger
Aiden Markram,0,6,0,0,0.0,c Dhruv Jurel b Jofra Archer
Nicholas Pooran,22,25,3,0,88.0,c Donovan Ferreira b Ravindra Jadeja
Himmat Singh,15,15,0,1,100.0,b Ravi Bishnoi
Mukul Choudhary,7,3,0,1,233.33,c Riyan Parag b Brijesh Sharma
Mohammed Shami,6,4,0,1,150.0,b Brijesh Sharma
Mayank Yadav,5,5,1,0,100.0,c Dhruv Jurel b Jofra Archer
Digvesh Singh Rathi,2,2,0,0,100.0,not out
Mohsin Khan,0,3,0,0,0.0,b Jofra Archer
