batter,runs,balls,fours,sixes,strike_rate,dismissal
Sahil Parakh,0,2,0,0,0.0,b Bhuvneshwar Kumar
KL Rahul,1,3,0,0,33.33,c Jitesh Sharma b Josh Hazlewood
Nitish Rana,1,9,0,0,11.11,c Devdutt Padikkal b Josh Hazlewood
Sameer Rizvi,0,1,0,0,0.0,c Jitesh Sharma b Josh Hazlewood
Tristan Stubbs,5,3,1,0,166.67,c Devdutt Padikkal b Bhuvneshwar Kumar
Axar Patel,0,3,0,0,0.0,c Jitesh Sharma b Bhuvneshwar Kumar
Abishek Porel,30,33,3,0,90.91,b Josh Hazlewood
David Miller,19,18,3,0,105.56,c Jitesh Sharma b Rasikh Salam Dar
Kyle Jamieson,12,13,1,1,92.31,lbw b Krunal Pandya
Kuldeep Yadav,3,11,0,0,27.27,b Suyash Sharma
Dushmantha Chameera,0,3,0,0,0.0,not out
