batter,runs,balls,fours,sixes,strike_rate,dismissal
Priyansh Arya,2,2,0,0,100.0,c Nishant Sindhu b Mohammed Siraj
Prabhsimran Singh,15,14,2,0,107.14,c Manav Suthar b Kagiso Rabada
Cooper Connolly,0,1,0,0,0.0,c Jos Buttler b Mohammed Siraj
Shreyas Iyer,19,21,3,0,90.48,b Jason Holder
Nehal Wadhera,0,6,0,0,0.0,c Jos Buttler b Jason Holder
Suryansh Shedge,57,29,3,5,196.55,c Jos Buttler b Kagiso Rabada
Marcus Stoinis,40,31,5,1,129.03,c Washington Sundar b Jason Holder
Marco Jansen,20,11,1,1,181.82,c Shubman Gill b Rashid Khan
Xavier Bartlett,0,1,0,0,0.0,b Jason Holder
Vijaykumar Vyshak,1,3,0,0,33.33,not out
Arshdeep Singh,1,1,0,0,100.0,not out
