batter,runs,balls,fours,sixes,strike_rate,dismissal
Pathum Nissanka,50,29,5,3,172.41,st Angkrish Raghuvanshi b Anukul Roy
KL Rahul,23,14,4,0,164.29,c Cameron Green b Kartik Tyagi
Nitish Rana,8,10,1,0,80.0,c Sunil Narine b Cameron Green
Sameer Rizvi,3,7,0,0,42.86,c Rovman Powell b Sunil Narine
Tristan Stubbs,2,4,0,0,50.0,b Anukul Roy
Axar Patel,11,22,0,0,50.0,c Anukul Roy b Vaibhav Arora
Ashutosh Sharma,39,28,3,3,139.29,c Ajinkya Rahane b Kartik Tyagi
Vipraj Nigam,3,3,0,0,100.0,not out
Mitchell Starc,0,2,0,0,0.0,run out (Angkrish Raghuvanshi/Kartik Tyagi)
Lungi Ngidi,1,1,0,0,100.0,not out
