batter,runs,balls,fours,sixes,strike_rate,dismissal
Mitchell Marsh,35,28,2,3,125.0,c Tristan Stubbs b Kuldeep Yadav
Rishabh Pant,7,9,1,0,77.78,run out (Mukesh Kumar)
Aiden Markram,11,8,1,1,137.5,b Axar Patel
Ayush Badoni,0,3,0,0,0.0,c KL Rahul b T Natarajan
Nicholas Pooran,8,8,1,0,100.0,b Lungi Ngidi
Abdul Samad,36,25,3,1,144.0,c David Miller b T Natarajan
Mukul Choudhary,14,11,2,0,127.27,c and b Kuldeep Yadav
Shahbaz Ahmed,15,16,1,0,93.75,not out
Mohammed Shami,1,2,0,0,50.0,c Kuldeep Yadav b T Natarajan
Anrich Nortje,0,1,0,0,0.0,c Tristan Stubbs b Lungi Ngidi
Mohsin Khan,0,1,0,0,0.0,c Mukesh Kumar b Lungi Ngidi
