batter,runs,balls,fours,sixes,strike_rate,dismissal
Daham Madampage,1,5,0,0,20.0,c Quin Stephens b Jared Tutty
Balage Dilruksha,0,6,0,0,0.0,c James Pickering b Hayden Dickson
Sageer Ahmad,20,30,2,0,66.67,c Quin Stephens b Oscar Taylor
Hyeon Parsons,4,7,0,0,57.14,c Hayden Dickson b Oscar Taylor
Jun Hyunwoo,0,9,0,0,0.0,c Cory Dickson b Jared Tutty
Aiden Broomfield,0,2,0,0,0.0,lbw b Quin Stephens
Sameera Pitabeddara,0,3,0,0,0.0,c Jared Tutty b Quin Stephens
Muhammad Nadeem,2,5,0,0,40.0,c Oscar Taylor b Cory Dickson
Sameera Maduranga,10,25,0,0,40.0,not out
Kuldeep Gurjar,1,5,0,0,20.0,c Hayden Dickson b Quin Stephens
Chamith Ranasinghe,0,2,0,0,0.0,c Thomas Parima b Cory Dickson
