batter,runs,balls,fours,sixes,strike_rate,dismissal
Mehboob Ali,16,5,1,2,320.0,c Kieron Ferrary b Kenroy Nestor
Zeeshan Khan,53,31,4,3,170.97,c Chris Pyle b Samarth Bodha
Priyan Pushparajan,73,34,5,5,214.71,c and b Iain Latin
Jaspal Singh,6,6,1,0,100.0,st Chris Pyle b Iain Latin
Flynn Zahra,16,10,1,1,160.0,c Louis Bruce b Iain Latin
Muhammad Ajmal,15,9,1,1,166.67,lbw b Iain Latin
Shrijaykumar Patel,3,3,0,0,100.0,c Andrew Reyes b Kabir Mirpuri
Ajin Soman,14,8,0,1,175.0,c Kabir Mirpuri b Louis Bruce
Imran Ameer,17,11,1,1,154.55,not out
Jaswinder Singh,7,4,1,0,175.0,not out
