batter,runs,balls,fours,sixes,strike_rate,dismissal
Azan Awais,103,165,14,0,62.42,c Najmul Hossain Shanto b Taskin Ahmed
Imam-ul-Haq,45,72,6,0,62.5,lbw b Mehidy Hasan Miraz
Abdullah Fazal,60,120,7,1,50.0,c Taijul Islam b Mehidy Hasan Miraz
Shan Masood,9,17,2,0,52.94,c Shadman Islam b Taskin Ahmed
Saud Shakeel,0,4,0,0,0.0,lbw b Mehidy Hasan Miraz
Salman Agha,58,94,6,1,61.7,c Najmul Hossain Shanto b Nahid Rana
Mohammad Rizwan,59,79,8,0,74.68,c Mahmudul Hasan Joy b Taijul Islam
Noman Ali,2,29,0,0,6.9,c Najmul Hossain Shanto b Mehidy Hasan Miraz
Shaheen Afridi,13,17,2,0,76.47,c Mominul b Mehidy Hasan Miraz
Hasan Ali,6,10,1,0,60.0,b Taijul Islam
Mohammad Abbas,6,5,1,0,120.0,not out
