batter,runs,balls,fours,sixes,strike_rate,dismissal
Aggeliki Savvani,2,8,0,0,25.0,run out (Line Ostergaard)
Elpida Kallous,7,15,0,0,46.67,lbw b Camilla Ostergaard
Adamantia Makri,8,13,0,0,61.54,c Camilla Ostergaard b Divya Golechha
Maria Syrioti,12,19,0,0,63.16,run out (Nita Dalgaard)
Aggeliki ioanna Argyropoulou,0,2,0,0,0.0,c Sofie Ostergaard b Anne-Sofie Slebsager
Sofia Georgota,0,5,0,0,0.0,c Sarah Hojholt b Anne-Sofie Slebsager
Maria afroditi Vervitsioti,5,7,0,0,71.43,b Anne-Sofie Slebsager
Randima Appuhangige,5,8,0,0,62.5,run out (Sarah Hojholt)
Maria Polimeri,2,5,0,0,40.0,c Luise Holmgaard b Nita Dalgaard
Theodora mesimeri,1,7,0,0,14.29,not out
Theopoula Skordili,0,1,0,0,0.0,b Nita Dalgaard
