batter,runs,balls,fours,sixes,strike_rate,dismissal
Kaif Jamadar,2,9,0,0,22.22,b Adam Senn
Vanraaj Padhaal,18,15,3,0,120.0,c Karan Singh b Adam Senn
Faraaz Mehti Abbas,1,2,0,0,50.0,c Arjun Shahi b Adam Senn
Zahidullah Kamal,39,36,2,1,108.33,b Arjun Shahi
Jordan OBrien,13,14,2,0,92.86,lbw b Ruel Brathwaite
Nicholas Salonen,27,21,1,2,128.57,c Akila Kalugala b Adam Senn
Faheem Nellancheri,1,2,0,0,50.0,c Ashish Bam b Roshan Siriwardena
Mahesh Tambe,0,1,0,0,0.0,c Ashish Bam b Roshan Siriwardena
Amjad Sher,7,5,0,1,140.0,c Ashish Bam b Arjun Shahi
Hammadullah Shinwari,1,2,0,0,50.0,c Ashish Bam b Roshan Siriwardena
Piumal Karunarathna,13,5,1,1,260.0,not out
