batter,runs,balls,fours,sixes,strike_rate,dismissal
Roman Mazumder,3,8,0,0,37.5,c Kaif Jamadar b Amjad Sher
Ruel Brathwaite,0,5,0,0,0.0,st Jordan OBrien b Hammadullah Shinwari
Alexander Senn,0,2,0,0,0.0,c Aniketh Pusthay b Hammadullah Shinwari
Mangala Gunasekara,1,4,0,0,25.0,b Hammadullah Shinwari
Adam Senn,1,6,0,0,16.67,c Nicholas Salonen b Hammadullah Shinwari
Ashish Bam,0,1,0,0,0.0,lbw b Hammadullah Shinwari
Karan Singh,3,11,0,0,27.27,lbw b Hammadullah Shinwari
Arjun Shahi,4,5,0,0,80.0,c Aniketh Pusthay b Junaid Khan
Taranjit Singh,0,4,0,0,0.0,c Vanraaj Padhaal b Junaid Khan
Roshan Siriwardena,5,8,1,0,62.5,not out
Lovedeep Singh,2,4,0,0,50.0,c Hammadullah Shinwari b Nicholas Salonen
