batter,runs,balls,fours,sixes,strike_rate,dismissal
Wei Haiting,8,23,0,0,34.78,c Mas Elysa b Nur Qalysha Noreffendi
Jiaping Li,1,7,0,0,14.29,lbw b Nur Qalysha Noreffendi
Cai Yuzhi,9,15,1,0,60.0,run out (Dhanusri Muhunan/Aina Najwa)
Mingyue Zhu,25,31,2,0,80.65,c and b Aisya Eleesa
Wang Huiying,24,18,3,0,133.33,c Nurin Imanina b Mas Elysa
Gong Yuting,5,3,0,0,166.67,run out (Nur Arianna Natsya/Aina Najwa)
Ma Ruike,1,3,0,0,33.33,lbw b Mas Elysa
Chen Xinyu,3,5,0,0,60.0,c and b Nur Dania Syuhada
Xie Wenyan,0,4,0,0,0.0,run out (Nur Qalysha Noreffendi/Nur Dania Syuhada)
Zhao Yihan,0,2,0,0,0.0,not out
Chunqin Jiang,0,1,0,0,0.0,c and b Aisya Eleesa
