Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Mumbai,04 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Chennai,02 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Mumbai,29 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Mumbai,23 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Ahmedabad,20 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Guwahati,07 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Mumbai,29 Mar 26,DNB,DNB,DNB
"AFGHANISTAN TOUR OF QATAR, 2025",0(1),QAT,T20I,Doha,11 Nov 25,0,0,0
AFGHANISTAN VS BANGLADESH IN UAE 2025,0(1),BAN,ODI,Abu Dhabi,14 Oct 25,0,0,0
AFGHANISTAN VS BANGLADESH IN UAE 2025,22(18),BAN,ODI,Abu Dhabi,11 Oct 25,122.2,2,1
AFGHANISTAN VS BANGLADESH IN UAE 2025,DNB,BAN,ODI,Abu Dhabi,08 Oct 25,DNB,DNB,DNB
ASIA CUP 2025,0(1),BAN,T20I,Abu Dhabi,16 Sep 25,0,0,0
ASIA CUP 2025,DNB,HKC,T20I,Abu Dhabi,09 Sep 25,DNB,DNB,DNB
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,7(7),PAK,T20I,Sharjah,07 Sep 25,100,0,1
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,DNB,PAK,T20I,Sharjah,02 Sep 25,DNB,DNB,DNB
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",6 & DNB,ZIM,Test,Bulawayo,26 Dec 24,150 & DNB,0 & DNB,1 & DNB
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",DNB,ZIM,ODI,Harare,21 Dec 24,DNB,DNB,DNB
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",DNB,ZIM,ODI,Harare,19 Dec 24,DNB,DNB,DNB
"AFGHANISTAN V BANGLADESH IN UAE, 2024",DNB,BAN,ODI,Sharjah,11 Nov 24,DNB,DNB,DNB
"AFGHANISTAN V BANGLADESH IN UAE, 2024",1(11),BAN,ODI,Sharjah,09 Nov 24,9,0,0
"AFGHANISTAN V BANGLADESH IN UAE, 2024",0(1),BAN,ODI,Sharjah,06 Nov 24,0,0,0
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",31*(15),RSA,ODI,Sharjah,22 Sep 24,206.6,2,3
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",DNB,RSA,ODI,Sharjah,20 Sep 24,DNB,DNB,DNB
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",DNB,RSA,ODI,Sharjah,18 Sep 24,DNB,DNB,DNB
"AFGHANISTAN V IRELAND IN UAE, 2024",5(8),IRE,ODI,Sharjah,12 Mar 24,62.5,0,0
"AFGHANISTAN V IRELAND IN UAE, 2024",DNB,IRE,ODI,Sharjah,07 Mar 24,DNB,DNB,DNB
