Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-50,LSG,T20,Mumbai,04 May 26,12.5,4,0
INDIAN PREMIER LEAGUE 2026,1-40,CSK,T20,Chennai,02 May 26,10,4,0
INDIAN PREMIER LEAGUE 2026,2-51,SRH,T20,Mumbai,29 Apr 26,12.7,4,0
INDIAN PREMIER LEAGUE 2026,2-25,CSK,T20,Mumbai,23 Apr 26,6.2,4,0
INDIAN PREMIER LEAGUE 2026,2-17,GT,T20,Ahmedabad,20 Apr 26,6.8,2.5,0
INDIAN PREMIER LEAGUE 2026,2-31,PBKS,T20,Mumbai,16 Apr 26,7.7,4,0
INDIAN PREMIER LEAGUE 2026,2-21,RR,T20,Guwahati,07 Apr 26,10.5,2,0
INDIAN PREMIER LEAGUE 2026,0-51,KKR,T20,Mumbai,29 Mar 26,12.7,4,0
"AFGHANISTAN TOUR OF QATAR, 2025",1-9,QAT,T20I,Doha,11 Nov 25,2.2,4,1
AFGHANISTAN VS BANGLADESH IN UAE 2025,0-25,BAN,ODI,Abu Dhabi,14 Oct 25,3.5,7,0
AFGHANISTAN VS BANGLADESH IN UAE 2025,0-21,BAN,ODI,Abu Dhabi,11 Oct 25,5.2,4,0
AFGHANISTAN VS BANGLADESH IN UAE 2025,2-55,BAN,ODI,Abu Dhabi,08 Oct 25,5.7,9.5,1
ASIA CUP 2025,0-32,BAN,T20I,Abu Dhabi,16 Sep 25,10.6,3,0
ASIA CUP 2025,0-4,HKC,T20I,Abu Dhabi,09 Sep 25,2,2,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,1-27,PAK,T20I,Sharjah,07 Sep 25,6.7,4,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,0-24,PAK,T20I,Sharjah,02 Sep 25,8,3,0
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",3-127 & 1-34,ZIM,Test,Bulawayo,26 Dec 24,4.2 & 5.6,30.2 & 6,3 & 0
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",5-33,ZIM,ODI,Harare,21 Dec 24,3.3,10,0
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",3-9,ZIM,ODI,Harare,19 Dec 24,2.5,3.5,2
"AFGHANISTAN TOUR OF ZIMBABWE, 2024-25",1-5,ZIM,ODI,Harare,17 Dec 24,2.5,2,0
"AFGHANISTAN V BANGLADESH IN UAE, 2024",0-49,BAN,ODI,Sharjah,11 Nov 24,7,7,0
"AFGHANISTAN V BANGLADESH IN UAE, 2024",2-35,BAN,ODI,Sharjah,09 Nov 24,3.5,10,0
"AFGHANISTAN V BANGLADESH IN UAE, 2024",6-26,BAN,ODI,Sharjah,06 Nov 24,4.1,6.3,1
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",1-38,RSA,ODI,Sharjah,22 Sep 24,5.4,7,0
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",0-23,RSA,ODI,Sharjah,20 Sep 24,4.6,5,0
"AFGHANISTAN V SOUTH AFRICA IN UAE, 2024",3-20,RSA,ODI,Sharjah,18 Sep 24,2,10,2
"AFGHANISTAN V IRELAND IN UAE, 2024",0-13,IRE,ODI,Sharjah,12 Mar 24,4.3,3,0
"AFGHANISTAN V IRELAND IN UAE, 2024",0-34,IRE,ODI,Sharjah,07 Mar 24,5.6,6,0
