Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-14,KKR,T20,Hyderabad,03 May 26,7,2,0
INDIAN PREMIER LEAGUE 2026,0-13,CSK,T20,Hyderabad,18 Apr 26,13,1,0
INDIAN PREMIER LEAGUE 2026,0-7,PBKS,T20,New Chandigarh,11 Apr 26,14,0.5,0
INDIAN PREMIER LEAGUE 2026,0-15,KKR,T20,Kolkata,02 Apr 26,15,1,0
ICC MEN'S T20 WORLD CUP 2026,1-5,NZ,T20I,Ahmedabad,08 Mar 26,5,1,0
ICC MEN'S T20 WORLD CUP 2026,0-10,NED,T20I,Ahmedabad,18 Feb 26,10,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-13,NZ,T20I,Thiruvananthapuram,31 Jan 26,13,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-12,NZ,T20I,Raipur,23 Jan 26,12,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-3,NZ,T20I,Nagpur,21 Jan 26,10,0.3,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-13,RSA,T20I,Ahmedabad,19 Dec 25,13,1,0
"INDIA TOUR OF AUSTRALIA, 2025",0-13,AUS,T20I,Hobart,02 Nov 25,13,1,0
ASIA CUP 2025,0-12,OMAN,T20I,Abu Dhabi,19 Sep 25,12,1,0
ASIA CUP 2025,0-5,PAK,T20I,Dubai,14 Sep 25,5,1,0
INDIAN PREMIER LEAGUE 2025,0-25,KKR,T20,Delhi,25 May 25,12.5,2,0
INDIAN PREMIER LEAGUE 2025,0-5,DC,T20,Hyderabad,05 May 25,5,1,0
INDIAN PREMIER LEAGUE 2025,0-18,GT,T20,Hyderabad,06 Apr 25,18,1,0
INDIAN PREMIER LEAGUE 2025,0-27,DC,T20,Visakhapatnam,30 Mar 25,9,3,0
INDIAN PREMIER LEAGUE 2025,0-20,LSG,T20,Hyderabad,27 Mar 25,10,2,0
INDIAN PREMIER LEAGUE 2025,0-17,RR,T20,Hyderabad,23 Mar 25,8.5,2,0
"ENGLAND TOUR OF INDIA, 2025",2-3,ENG,T20I,Mumbai,02 Feb 25,3,1,0
"ENGLAND TOUR OF INDIA, 2025",0-4,ENG,T20I,Rajkot,28 Jan 25,4,1,0
"ENGLAND TOUR OF INDIA, 2025",1-12,ENG,T20I,Chennai,25 Jan 25,12,1,0
"BANGLADESH TOUR OF INDIA, 2024",0-8,BAN,T20I,Hyderabad,12 Oct 24,8,1,0
"BANGLADESH TOUR OF INDIA, 2024",1-10,BAN,T20I,Delhi,09 Oct 24,5,2,0
"INDIA TOUR OF ZIMBABWE, 2024",1-20,ZIM,T20I,Harare,14 Jul 24,6.6,3,0
"INDIA TOUR OF ZIMBABWE, 2024",1-20,ZIM,T20I,Harare,13 Jul 24,6.6,3,0
"INDIA TOUR OF ZIMBABWE, 2024",0-23,ZIM,T20I,Harare,10 Jul 24,11.5,2,0
"INDIA TOUR OF ZIMBABWE, 2024",0-36,ZIM,T20I,Harare,07 Jul 24,12,3,0
"INDIA TOUR OF ZIMBABWE, 2024",0-17,ZIM,T20I,Harare,06 Jul 24,8.5,2,0
INDIAN PREMIER LEAGUE 2024,2-24,RR,T20,Chennai,24 May 24,6,4,0
INDIAN PREMIER LEAGUE 2024,0-10,RCB,T20,Hyderabad,25 Apr 24,10,1,0
INDIAN PREMIER LEAGUE 2024,0-10,RCB,T20,Bengaluru,15 Apr 24,10,1,0
INDIAN PREMIER LEAGUE 2024,0-7,CSK,T20,Hyderabad,05 Apr 24,7,1,0
INDIAN PREMIER LEAGUE 2023,0-28,RCB,T20,Hyderabad,18 May 23,9.3,3,0
INDIAN PREMIER LEAGUE 2023,0-13,GT,T20,Ahmedabad,15 May 23,13,1,0
INDIAN PREMIER LEAGUE 2023,1-42,LSG,T20,Hyderabad,13 May 23,14,3,0
INDIAN PREMIER LEAGUE 2023,0-15,RR,T20,Jaipur,07 May 23,7.5,2,0
INDIAN PREMIER LEAGUE 2023,1-26,DC,T20,Delhi,29 Apr 23,8.6,3,0
INDIAN PREMIER LEAGUE 2022,0-10,MI,T20,Mumbai,17 May 22,10,1,0
INDIAN PREMIER LEAGUE 2022,0-13,RCB,T20,Mumbai,08 May 22,6.5,2,0
INDIAN PREMIER LEAGUE 2022,0-15,RR,T20,Pune,29 Mar 22,15,1,0
INDIAN PREMIER LEAGUE 2021,2-4,MI,T20,Abu Dhabi,08 Oct 21,4,1,0
INDIAN PREMIER LEAGUE 2021,0-9,CSK,T20,Sharjah,30 Sep 21,4.5,2,0
INDIAN PREMIER LEAGUE 2021,0-8,RR,T20,Dubai,27 Sep 21,8,1,0
INDIAN PREMIER LEAGUE 2021,0-14,DC,T20,Chennai,25 Apr 21,14,1,0
INDIAN PREMIER LEAGUE 2021,2-24,PBKS,T20,Chennai,21 Apr 21,6,4,0
INDIAN PREMIER LEAGUE 2021,0-5,MI,T20,Chennai,17 Apr 21,5,1,0
INDIAN PREMIER LEAGUE 2020,0-11,RR,T20,Dubai,11 Oct 20,11,1,0
INDIAN PREMIER LEAGUE 2020,1-15,PBKS,T20,Dubai,08 Oct 20,15,1,0
INDIAN PREMIER LEAGUE 2020,0-4,CSK,T20,Dubai,02 Oct 20,4,1,0
INDIAN PREMIER LEAGUE 2020,0-34,DC,T20,Abu Dhabi,29 Sep 20,8.5,4,0
INDIAN PREMIER LEAGUE 2020,0-11,KKR,T20,Abu Dhabi,26 Sep 20,11,1,0
INDIAN PREMIER LEAGUE 2020,1-16,RCB,T20,Dubai,21 Sep 20,8,2,0
INDIAN PREMIER LEAGUE 2019,0-11,PBKS,T20,Hyderabad,29 Apr 19,11,1,0
INDIAN PREMIER LEAGUE 2019,1-10,DC,T20,Hyderabad,14 Apr 19,10,1,0
