Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,30(33),RCB,T20,Delhi,27 Apr 26,90.9,3,0
INDIAN PREMIER LEAGUE 2025,6(9),MI,T20,Mumbai,21 May 25,66.6,0,0
INDIAN PREMIER LEAGUE 2025,30(19),GT,T20,Delhi,18 May 25,157.8,1,3
INDIAN PREMIER LEAGUE 2025,8(10),SRH,T20,Hyderabad,05 May 25,80,1,0
INDIAN PREMIER LEAGUE 2025,4(2),KKR,T20,Delhi,29 Apr 25,200,1,0
INDIAN PREMIER LEAGUE 2025,28(11),RCB,T20,Delhi,27 Apr 25,254.5,2,2
INDIAN PREMIER LEAGUE 2025,51(36),LSG,T20,Lucknow,22 Apr 25,141.6,5,1
INDIAN PREMIER LEAGUE 2025,18(9),GT,T20,Ahmedabad,19 Apr 25,200,3,1
INDIAN PREMIER LEAGUE 2025,49(37),RR,T20,Delhi,16 Apr 25,132.4,5,1
INDIAN PREMIER LEAGUE 2025,33(25),MI,T20,Delhi,13 Apr 25,132,3,1
INDIAN PREMIER LEAGUE 2025,7(7),RCB,T20,Bengaluru,10 Apr 25,100,1,0
INDIAN PREMIER LEAGUE 2025,33(20),CSK,T20,Chennai,05 Apr 25,165,4,1
INDIAN PREMIER LEAGUE 2025,34*(18),SRH,T20,Visakhapatnam,30 Mar 25,188.8,2,2
INDIAN PREMIER LEAGUE 2025,0(2),LSG,T20,Visakhapatnam,24 Mar 25,0,0,0
INDIAN PREMIER LEAGUE 2024,58(33),LSG,T20,Delhi,14 May 24,175.7,5,4
INDIAN PREMIER LEAGUE 2024,2(3),RCB,T20,Bengaluru,12 May 24,66.6,0,0
INDIAN PREMIER LEAGUE 2024,65(36),RR,T20,Delhi,07 May 24,180.5,7,3
INDIAN PREMIER LEAGUE 2024,18(15),KKR,T20,Kolkata,29 Apr 24,120,2,1
INDIAN PREMIER LEAGUE 2024,36(27),MI,T20,Delhi,27 Apr 24,133.3,3,1
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Delhi,24 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,42(22),SRH,T20,Delhi,20 Apr 24,190.9,7,1
INDIAN PREMIER LEAGUE 2024,15(7),GT,T20,Ahmedabad,17 Apr 24,214.2,2,1
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Lucknow,12 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,41(31),MI,T20,Mumbai,07 Apr 24,132.2,5,0
INDIAN PREMIER LEAGUE 2024,0(5),KKR,T20,Visakhapatnam,03 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,9*(6),CSK,T20,Visakhapatnam,31 Mar 24,150,1,0
INDIAN PREMIER LEAGUE 2024,9(10),RR,T20,Jaipur,28 Mar 24,90,0,0
INDIAN PREMIER LEAGUE 2024,32*(10),PBKS,T20,New Chandigarh,23 Mar 24,320,4,2
INDIAN PREMIER LEAGUE 2023,5(8),RCB,T20,Bengaluru,15 Apr 23,62.5,0,0
INDIAN PREMIER LEAGUE 2023,1(3),MI,T20,Delhi,11 Apr 23,33.3,0,0
INDIAN PREMIER LEAGUE 2023,7(9),RR,T20,Guwahati,08 Apr 23,77.7,1,0
INDIAN PREMIER LEAGUE 2023,20(11),GT,T20,Delhi,04 Apr 23,181.8,0,2
