Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",2-9,CHNW,T20I,Mong Kok,08 May 26,2.8,3.2,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-10,HKC W,T20I,Mong Kok,07 May 26,3.3,3,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",1-6,CHNW,T20I,Mong Kok,07 May 26,3,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-19,HKC W,T20I,Gelephu,21 Jan 26,9.5,2,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,0-0,MMRW,T20I,Bangkok,18 Dec 25,0,1,1
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0-9,HKC W,T20I,Kuala Lumpur,01 Dec 25,9,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0-20,HKC W,T20I,Kuala Lumpur,30 Nov 25,6.6,3,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,1-21,NEPW,T20I,Kuala Lumpur,08 Oct 25,5.2,4,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,0-18,NEPW,T20I,Kuala Lumpur,07 Oct 25,6,3,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,1-15,NEPW,T20I,Kuala Lumpur,05 Oct 25,3.7,4,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,0-9,NEPW,T20I,Kuala Lumpur,04 Oct 25,4.5,2,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,2-26,NEPW,T20I,Kuala Lumpur,02 Oct 25,6.5,4,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,2-7,QATW,T20I,Bangkok,16 May 25,2.3,3,0
"WOMENS ASIA CUP T20, 2024",0-27,BANW,T20I,Dambulla,24 Jul 24,13.5,2,0
"WOMENS ASIA CUP T20, 2024",0-45,SLW,T20I,Dambulla,22 Jul 24,11.2,4,0
"WOMENS ASIA CUP T20, 2024",1-21,THAIW,T20I,Dambulla,20 Jul 24,5.2,4,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,1-14,UAEW,T20I,Kuala Lumpur,18 Feb 24,7,2,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,0-9,NEPW,T20I,Kuala Lumpur,16 Feb 24,9,1,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,0-10,JPNW,T20I,Kuala Lumpur,14 Feb 24,10,1,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,2-14,BHRW,T20I,Kuala Lumpur,13 Feb 24,3.5,4,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,0-17,IDNW,T20I,Kuala Lumpur,10 Feb 24,5.6,3,0
"KUWAIT WOMEN TOUR OF MALAYSIA, 2024",0-13,KUWW,T20I,Johor Bahru,06 Feb 24,3.2,4,0
"KUWAIT WOMEN TOUR OF MALAYSIA, 2024",0-19,KUWW,T20I,Johor Bahru,05 Feb 24,6.3,3,0
"KUWAIT WOMEN TOUR OF MALAYSIA, 2024",0-20,KUWW,T20I,Johor Bahru,04 Feb 24,6.6,3,0
"ASIAN GAMES WOMENS T20I, 2023",0-24,INDW,T20I,Hangzhou,21 Sep 23,12,2,0
"ASIAN GAMES WOMENS T20I, 2023",1-9,HKC W,T20I,Hangzhou,19 Sep 23,4.5,2,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,2-21,HKC W,T20I,Kuala Lumpur,15 Sep 23,7,3,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,0-7,HKC W,T20I,Kuala Lumpur,13 Sep 23,3.5,2,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,0-5,HKC W,T20I,Kuala Lumpur,12 Sep 23,2.5,2,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,0-7,BTNW,T20I,Kuala Lumpur,04 Sep 23,3.5,2,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,3-21,BHRW,T20I,Kuala Lumpur,03 Sep 23,5.2,4,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,0-9,UAEW,T20I,"Bangi, Malaysia",01 Sep 23,9,1,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,1-15,NEPW,T20I,Kuala Lumpur,31 Aug 23,3.7,4,0
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,3-19,KUWW,T20I,Kuala Lumpur,26 Aug 23,4.7,4,0
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,1-15,NEPW,T20I,Kuala Lumpur,25 Aug 23,5,3,0
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,0-7,HKC W,T20I,Kuala Lumpur,23 Aug 23,3.5,2,0
ACC WOMENS EMERGING TEAMS ASIA CUP 2023,1-8,UAEW,T20I,Mong Kok,14 Jun 23,8,1,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-13,NEPW,T20I,"Bangi, Malaysia",04 Jun 23,6.5,2,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-15,NEPW,T20I,"Bangi, Malaysia",03 Jun 23,7.5,2,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-17,NEPW,T20I,"Bangi, Malaysia",01 Jun 23,8.5,2,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-26,NEPW,T20I,"Bangi, Malaysia",30 May 23,7.8,3.3,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",2-9,NEPW,T20I,"Bangi, Malaysia",29 May 23,4.5,2,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,1-11,SINW,T20I,Phnom Penh,15 May 23,2.7,4,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,2-4,MMRW,T20I,Phnom Penh,14 May 23,1,4,2
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,0-2,PHIW,T20I,Phnom Penh,06 May 23,0.6,3,1
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,1-12,THAIW,T20I,Phnom Penh,04 May 23,3,4,0
"WOMENS ASIA CUP T20, 2022",1-16,THAIW,T20I,Sylhet,09 Oct 22,8,2,0
"WOMENS ASIA CUP T20, 2022",1-20,SLW,T20I,Sylhet,08 Oct 22,5,4,0
"WOMENS ASIA CUP T20, 2022",0-20,BANW,T20I,Sylhet,06 Oct 22,5,4,0
"WOMENS ASIA CUP T20, 2022",0-18,UAEW,T20I,Sylhet,05 Oct 22,4.5,4,0
"MALAYSIA WOMEN TOUR OF SINGAPORE, 2022",0-5,SINW,T20I,Singapore,08 Jul 22,5,1,0
ACC WOMENS T20 CHAMPIONSHIP 2022,1-10,UAEW,T20I,Kuala Lumpur,25 Jun 22,4.1,2.4,1
ACC WOMENS T20 CHAMPIONSHIP 2022,0-16,OMANW,T20I,Kuala Lumpur,22 Jun 22,5.3,3,1
ACC WOMENS T20 CHAMPIONSHIP 2022,0-18,UAEW,T20I,"Bangi, Malaysia",20 Jun 22,4.5,4,0
ACC WOMENS T20 CHAMPIONSHIP 2022,1-4,QATW,T20I,"Bangi, Malaysia",18 Jun 22,2,2,0
ACC WOMENS T20 CHAMPIONSHIP 2022,2-7,SINW,T20I,Kuala Lumpur,17 Jun 22,2.3,3,0
