Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,13(9),DC,T20,Delhi,08 May 26,144.4,1,1
INDIAN PREMIER LEAGUE 2026,43(36),SRH,T20,Hyderabad,03 May 26,119.4,4,1
INDIAN PREMIER LEAGUE 2026,10(15),LSG,T20,Lucknow,26 Apr 26,66.6,0,1
INDIAN PREMIER LEAGUE 2026,0(2),RR,T20,Kolkata,19 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,0(1),GT,T20,Ahmedabad,17 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,28(22),CSK,T20,Chennai,14 Apr 26,127.2,0,2
INDIAN PREMIER LEAGUE 2026,41(24),LSG,T20,Kolkata,09 Apr 26,170.8,4,2
INDIAN PREMIER LEAGUE 2026,8*(6),PBKS,T20,Kolkata,06 Apr 26,133.3,1,0
INDIAN PREMIER LEAGUE 2026,8(10),SRH,T20,Kolkata,02 Apr 26,80,0,0
INDIAN PREMIER LEAGUE 2026,67(40),MI,T20,Mumbai,29 Mar 26,167.5,3,5
INDIAN PREMIER LEAGUE 2025,15(8),SRH,T20,Delhi,25 May 25,187.5,3,0
INDIAN PREMIER LEAGUE 2025,48(33),CSK,T20,Kolkata,07 May 25,145.4,4,2
INDIAN PREMIER LEAGUE 2025,30(24),RR,T20,Kolkata,04 May 25,125,1,2
INDIAN PREMIER LEAGUE 2025,26(14),DC,T20,Delhi,29 Apr 25,185.7,4,1
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Kolkata,26 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,50(36),GT,T20,Kolkata,21 Apr 25,138.8,5,1
INDIAN PREMIER LEAGUE 2025,17(17),PBKS,T20,New Chandigarh,15 Apr 25,100,1,1
INDIAN PREMIER LEAGUE 2025,20*(17),CSK,T20,Chennai,11 Apr 25,117.6,1,1
INDIAN PREMIER LEAGUE 2025,61(35),LSG,T20,Kolkata,08 Apr 25,174.2,8,2
INDIAN PREMIER LEAGUE 2025,38(27),SRH,T20,Kolkata,03 Apr 25,140.7,1,4
INDIAN PREMIER LEAGUE 2025,11(7),MI,T20,Mumbai,31 Mar 25,157.1,1,1
INDIAN PREMIER LEAGUE 2025,18(15),RR,T20,Guwahati,26 Mar 25,120,1,1
INDIAN PREMIER LEAGUE 2025,56(31),RCB,T20,Kolkata,22 Mar 25,180.6,6,4
INDIAN PREMIER LEAGUE 2024,33(22),RCB,T20,Bengaluru,18 May 24,150,3,1
INDIAN PREMIER LEAGUE 2024,1(5),GT,T20,Ahmedabad,10 May 24,20,0,0
INDIAN PREMIER LEAGUE 2024,9(7),PBKS,T20,Dharamsala,05 May 24,128.5,1,0
INDIAN PREMIER LEAGUE 2024,29(24),PBKS,T20,Chennai,01 May 24,120.8,5,0
INDIAN PREMIER LEAGUE 2024,9(12),SRH,T20,Chennai,28 Apr 24,75,1,0
INDIAN PREMIER LEAGUE 2024,1(3),LSG,T20,Chennai,23 Apr 24,33.3,0,0
INDIAN PREMIER LEAGUE 2024,36(24),LSG,T20,Lucknow,19 Apr 24,150,5,1
INDIAN PREMIER LEAGUE 2024,5(8),MI,T20,Mumbai,14 Apr 24,62.5,1,0
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Chennai,08 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,35(30),SRH,T20,Hyderabad,05 Apr 24,116.6,2,1
INDIAN PREMIER LEAGUE 2024,45(30),DC,T20,Visakhapatnam,31 Mar 24,150,5,2
INDIAN PREMIER LEAGUE 2024,12(12),GT,T20,Chennai,26 Mar 24,100,0,0
INDIAN PREMIER LEAGUE 2024,27(19),RCB,T20,Chennai,22 Mar 24,142.1,0,2
"INDIA TOUR OF WEST INDIES, 2023",8 & DNB,WI,Test,"Port of Spain, Trinidad",20 Jul 23,22.2 & DNB,0 & DNB,0 & DNB
