Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",DNB,CHNW,T20I,Mong Kok,08 May 26,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",DNB,MLYW,T20I,Mong Kok,07 May 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,BTNW,T20I,Gelephu,29 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,26 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0(1),BTNW,T20I,Gelephu,25 Jan 26,0,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,BTNW,T20I,Gelephu,22 Jan 26,DNB,DNB,DNB
BHUTAN WOMEN'S T20I TRI-SERIES 2026,DNB,MLYW,T20I,Gelephu,21 Jan 26,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,04 Dec 25,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",2(6),MLYW,T20I,Kuala Lumpur,03 Dec 25,33.3,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,01 Dec 25,DNB,DNB,DNB
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",DNB,MLYW,T20I,Kuala Lumpur,30 Nov 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,7(6),MMRW,T20I,Hangzhou,25 Sep 25,116.6,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,7(12),CHNW,T20I,Hangzhou,23 Sep 25,58.3,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,1(3),MMRW,T20I,Hangzhou,20 Sep 25,33.3,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,11(15),JPNW,T20I,"Sano, Kanto",08 Jun 25,73.3,1,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,MGLW,T20I,"Sano, Kanto",07 Jun 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,JPNW,T20I,"Sano, Kanto",04 Jun 25,DNB,DNB,DNB
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,NEPW,T20I,Bangkok,13 May 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,DNB,KUWW,T20I,Bangkok,06 May 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,5*(9),THAIW,T20I,Bangkok,04 May 25,55.5,0,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,DNB,UAEW,T20I,Bangkok,03 May 25,DNB,DNB,DNB
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2(11),NEPW,T20I,Entebbe,14 Mar 25,18.1,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,3*(6),NAMW,T20I,Entebbe,13 Mar 25,50,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2*(3),UGAW,T20I,Entebbe,12 Mar 25,66.6,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,1(8),NEPW,T20I,Entebbe,10 Mar 25,12.5,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2*(2),NAMW,T20I,Entebbe,09 Mar 25,100,0,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,DNB,UGAW,T20I,Entebbe,08 Mar 25,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",DNB,CHNW,T20I,Mong Kok,08 Dec 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2*(6),NAMW,T20I,Mong Kok,07 Dec 24,33.3,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",5(7),THAIW,T20I,Mong Kok,05 Dec 24,71.4,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",DNB,CHNW,T20I,Mong Kok,04 Dec 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,CHNW,T20I,Hangzhou,10 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,MGLW,T20I,Hangzhou,09 Nov 24,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",2*(4),CHNW,T20I,Hangzhou,08 Nov 24,50,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",7*(8),MMRW,T20I,Hangzhou,07 Nov 24,87.5,0,0
WOMENS EAST ASIA CUP 2024,DNB,JPNW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,12 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,MGLW,T20I,Incheon,10 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,CHNW,T20I,Incheon,09 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,JPNW,T20I,Incheon,08 Oct 24,DNB,DNB,DNB
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",1*(1),NEDW,T20I,Utrecht,19 Jun 24,100,0,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",DNB,NEDW,T20I,Utrecht,19 Jun 24,DNB,DNB,DNB
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",DNB,NEDW,T20I,Utrecht,18 Jun 24,DNB,DNB,DNB
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",1*(9),NEDW,T20I,Utrecht,17 Jun 24,11.1,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,THAIW,T20I,Kuala Lumpur,14 Feb 24,DNB,DNB,DNB
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,BTNW,T20I,Bangi,13 Feb 24,DNB,DNB,DNB
