Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-25,CHNW,T20I,Mong Kok,08 May 26,6.2,4,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",2-14,MLYW,T20I,Mong Kok,07 May 26,3.5,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-16,BTNW,T20I,Gelephu,29 Jan 26,4,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-18,MLYW,T20I,Gelephu,26 Jan 26,4.5,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-23,BTNW,T20I,Gelephu,25 Jan 26,5.7,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1-19,BTNW,T20I,Gelephu,22 Jan 26,4.7,4,1
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-25,MLYW,T20I,Gelephu,21 Jan 26,6.2,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-22,MLYW,T20I,Kuala Lumpur,04 Dec 25,7.3,3,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-20,MLYW,T20I,Kuala Lumpur,03 Dec 25,5,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",2-21,MLYW,T20I,Kuala Lumpur,01 Dec 25,5.2,4,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",1-30,MLYW,T20I,Kuala Lumpur,30 Nov 25,7.5,4,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,2-5,MMRW,T20I,Hangzhou,25 Sep 25,1.6,3,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,0-24,CHNW,T20I,Hangzhou,23 Sep 25,6.8,3.5,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,2-8,MMRW,T20I,Hangzhou,20 Sep 25,2.6,3,1
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1-13,JPNW,T20I,"Sano, Kanto",08 Jun 25,3.2,4,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,0-5,MGLW,T20I,"Sano, Kanto",07 Jun 25,1.5,3.2,1
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,0-14,JPNW,T20I,"Sano, Kanto",04 Jun 25,7,2,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,3-11,NEPW,T20I,Bangkok,13 May 25,5.5,2,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,0-6,BHRW,T20I,Bangkok,12 May 25,3,2,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,2-19,KUWW,T20I,Bangkok,06 May 25,6.3,3,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,2-31,THAIW,T20I,Bangkok,04 May 25,7.7,4,0
WOMENS T20I QUADRANGULAR SERIES IN THAILAND 2025,1-14,UAEW,T20I,Bangkok,03 May 25,4.6,3,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-16,NEPW,T20I,Entebbe,14 Mar 25,4.8,3.3,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2-17,NAMW,T20I,Entebbe,13 Mar 25,4.2,4,1
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,2-18,UGAW,T20I,Entebbe,12 Mar 25,4.5,4,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,1-12,NEPW,T20I,Entebbe,10 Mar 25,3,4,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-16,NAMW,T20I,Entebbe,09 Mar 25,5.3,3,0
WOMENS T20 QUADRANGULAR SERIES IN UGANDA 2025,0-14,UGAW,T20I,Entebbe,08 Mar 25,4.6,3,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-4,CHNW,T20I,Mong Kok,08 Dec 24,1.2,3.2,1
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-9,NAMW,T20I,Mong Kok,07 Dec 24,2.2,4,1
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0-26,THAIW,T20I,Mong Kok,05 Dec 24,8.6,3,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2-4,CHNW,T20I,Mong Kok,04 Dec 24,1.3,3,2
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",0-9,CHNW,T20I,Hangzhou,10 Nov 24,2.2,4,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",4-4,MGLW,T20I,Hangzhou,09 Nov 24,1,4,1
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",0-14,CHNW,T20I,Hangzhou,08 Nov 24,3.5,4,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",1-22,MMRW,T20I,Hangzhou,07 Nov 24,7.3,3,0
WOMENS EAST ASIA CUP 2024,1-16,JPNW,T20I,Incheon,13 Oct 24,5.3,3,0
WOMENS EAST ASIA CUP 2024,4-11,SKRW,T20I,Incheon,12 Oct 24,2.7,4,0
WOMENS EAST ASIA CUP 2024,1-3,MGLW,T20I,Incheon,10 Oct 24,1.5,2,1
WOMENS EAST ASIA CUP 2024,0-9,CHNW,T20I,Incheon,09 Oct 24,3,3,0
WOMENS EAST ASIA CUP 2024,2-16,JPNW,T20I,Incheon,08 Oct 24,4,4,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",1-19,NEDW,T20I,Utrecht,19 Jun 24,9.5,2,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",1-29,NEDW,T20I,Utrecht,19 Jun 24,9.6,3,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",1-27,NEDW,T20I,Utrecht,18 Jun 24,9,3,0
"HONG KONG WOMEN TOUR OF NETHERLANDS, 2024",0-25,NEDW,T20I,Utrecht,17 Jun 24,8.3,3,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,0-16,THAIW,T20I,Kuala Lumpur,14 Feb 24,8,2,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,2-14,BTNW,T20I,Bangi,13 Feb 24,3.5,4,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,0-10,NEPW,T20I,Kuala Lumpur,10 Feb 24,5,2,0
