Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,11(10),IDN,T20I,"Sano, Kanto",08 May 26,110,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,31(23),THAI,T20I,Bangkok,13 Dec 25,134.7,6,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,8(4),IDN,T20I,Bangkok,11 Dec 25,200,2,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,4(7),SIN,T20I,Bangkok,10 Dec 25,57.1,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,9(9),MLY,T20I,Bangkok,09 Dec 25,100,2,0
INDONESIA T20I TRI-SERIES 2025,4(2),IDN,T20I,Bali,13 Jul 25,200,1,0
INDONESIA T20I TRI-SERIES 2025,2(2),SKR,T20I,Bali,12 Jul 25,100,0,0
INDONESIA T20I TRI-SERIES 2025,58*(38),IDN,T20I,Bali,10 Jul 25,152.6,6,2
INDONESIA T20I TRI-SERIES 2025,7(4),SKR,T20I,Bali,09 Jul 25,175,0,1
INDONESIA T20I TRI-SERIES 2025,38(32),SKR,T20I,Bali,07 Jul 25,118.7,3,2
INDONESIA T20I TRI-SERIES 2025,26(10),IDN,T20I,Bali,07 Jul 25,260,3,2
INDONESIA T20I TRI-SERIES 2025,2*(3),IDN,T20I,Bali,06 Jul 25,66.6,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",DNB,SKR,T20I,Incheon,05 Oct 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",12(14),IDN,T20I,Incheon,04 Oct 24,85.7,1,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",3(5),JPN,T20I,Incheon,26 Sep 24,60,0,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,DNB,IDN,T20I,Bali,26 Dec 23,DNB,DNB,DNB
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,DNB,IDN,T20I,Bali,24 Dec 23,DNB,DNB,DNB
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,21(17),IDN,T20I,Bali,24 Dec 23,123.5,1,1
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,3(4),IDN,T20I,Bali,23 Dec 23,75,0,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,3(4),VAN,T20I,Port Moresby,29 Jul 23,75,0,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,DNB,JPN,T20I,Port Moresby,26 Jul 23,DNB,DNB,DNB
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,DNB,VAN,T20I,Port Moresby,25 Jul 23,DNB,DNB,DNB
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0(1),PNG,T20I,Port Moresby,23 Jul 23,0,0,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,7*(10),JPN,T20I,Port Moresby,22 Jul 23,70,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,27(15),CBD,T20I,Phnom Penh,10 May 23,180,2,1
