Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,10(10),IDN,T20I,"Sano, Kanto",08 May 26,100,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,18(16),THAI,T20I,Bangkok,13 Dec 25,112.5,1,1
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,30*(27),IDN,T20I,Bangkok,11 Dec 25,111.1,2,1
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,31(29),SIN,T20I,Bangkok,10 Dec 25,106.9,1,2
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0(4),MLY,T20I,Bangkok,09 Dec 25,0,0,0
INDONESIA T20I TRI-SERIES 2025,26(11),IDN,T20I,Bali,13 Jul 25,236.3,2,2
INDONESIA T20I TRI-SERIES 2025,122*(54),SKR,T20I,Bali,12 Jul 25,225.9,11,7
INDONESIA T20I TRI-SERIES 2025,68(29),SKR,T20I,Bali,10 Jul 25,234.4,6,5
INDONESIA T20I TRI-SERIES 2025,DNB,IDN,T20I,Bali,10 Jul 25,DNB,DNB,DNB
INDONESIA T20I TRI-SERIES 2025,38*(22),SKR,T20I,Bali,09 Jul 25,172.7,1,3
INDONESIA T20I TRI-SERIES 2025,18*(11),SKR,T20I,Bali,07 Jul 25,163.6,1,1
INDONESIA T20I TRI-SERIES 2025,2(5),IDN,T20I,Bali,07 Jul 25,40,0,0
INDONESIA T20I TRI-SERIES 2025,2*(3),IDN,T20I,Bali,06 Jul 25,66.6,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",DNB,SKR,T20I,Incheon,05 Oct 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1(6),IDN,T20I,Incheon,04 Oct 24,16.6,0,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",1*(4),JPN,T20I,Incheon,26 Sep 24,25,0,0
