Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-12,MLY,T20I,Bangkok,09 Dec 25,12,1,0
INDONESIA T20I TRI-SERIES 2025,0-21,IDN,T20I,Bali,13 Jul 25,7,3,0
INDONESIA T20I TRI-SERIES 2025,1-6,SKR,T20I,Bali,12 Jul 25,3,2,0
INDONESIA T20I TRI-SERIES 2025,1-12,SKR,T20I,Bali,10 Jul 25,4,3,0
INDONESIA T20I TRI-SERIES 2025,1-22,IDN,T20I,Bali,10 Jul 25,7.3,3,0
INDONESIA T20I TRI-SERIES 2025,0-31,SKR,T20I,Bali,09 Jul 25,10.3,3,0
INDONESIA T20I TRI-SERIES 2025,0-2,SKR,T20I,Bali,07 Jul 25,2,1,0
INDONESIA T20I TRI-SERIES 2025,0-5,IDN,T20I,Bali,06 Jul 25,5,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0-2,SKR,T20I,Incheon,05 Oct 24,2,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0-14,IDN,T20I,Incheon,04 Oct 24,7,2,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",0-15,JPN,T20I,Incheon,26 Sep 24,15,1,0
