Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,1(3),DC,T20,Delhi,08 May 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,59(47),SRH,T20,Hyderabad,03 May 26,125.5,5,2
INDIAN PREMIER LEAGUE 2026,9(8),LSG,T20,Lucknow,26 Apr 26,112.5,1,0
INDIAN PREMIER LEAGUE 2026,10(19),RR,T20,Kolkata,19 Apr 26,52.6,1,0
INDIAN PREMIER LEAGUE 2026,8(4),GT,T20,Ahmedabad,17 Apr 26,200,2,0
INDIAN PREMIER LEAGUE 2026,27(19),CSK,T20,Chennai,14 Apr 26,142.1,3,1
INDIAN PREMIER LEAGUE 2026,45(33),LSG,T20,Kolkata,09 Apr 26,136.3,5,2
INDIAN PREMIER LEAGUE 2026,7*(7),PBKS,T20,Kolkata,06 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,52(29),SRH,T20,Kolkata,02 Apr 26,179.3,6,2
INDIAN PREMIER LEAGUE 2026,51(29),MI,T20,Mumbai,29 Mar 26,175.8,6,2
INDIAN PREMIER LEAGUE 2025,14(18),SRH,T20,Delhi,25 May 25,77.7,1,0
INDIAN PREMIER LEAGUE 2025,1(2),CSK,T20,Kolkata,07 May 25,50,0,0
INDIAN PREMIER LEAGUE 2025,44(31),RR,T20,Kolkata,04 May 25,141.9,5,0
INDIAN PREMIER LEAGUE 2025,44(32),DC,T20,Delhi,29 Apr 25,137.5,3,2
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Kolkata,26 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,27*(13),GT,T20,Kolkata,21 Apr 25,207.6,3,1
INDIAN PREMIER LEAGUE 2025,37(28),PBKS,T20,New Chandigarh,15 Apr 25,132.1,5,1
INDIAN PREMIER LEAGUE 2025,5(4),LSG,T20,Kolkata,08 Apr 25,125,1,0
INDIAN PREMIER LEAGUE 2025,50(32),SRH,T20,Kolkata,03 Apr 25,156.2,5,2
INDIAN PREMIER LEAGUE 2025,26(16),MI,T20,Mumbai,31 Mar 25,162.5,3,1
INDIAN PREMIER LEAGUE 2025,22*(17),RR,T20,Guwahati,26 Mar 25,129.4,2,0
INDIAN PREMIER LEAGUE 2025,30(22),RCB,T20,Kolkata,22 Mar 25,136.3,2,1
INDIAN PREMIER LEAGUE 2024,32(26),LSG,T20,Lucknow,05 May 24,123,3,1
INDIAN PREMIER LEAGUE 2024,13(6),MI,T20,Mumbai,03 May 24,216.6,0,2
INDIAN PREMIER LEAGUE 2024,DNB,DC,T20,Kolkata,29 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,PBKS,T20,Kolkata,26 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,3(4),RCB,T20,Kolkata,21 Apr 24,75,0,0
INDIAN PREMIER LEAGUE 2024,30(18),RR,T20,Kolkata,16 Apr 24,166.6,5,0
INDIAN PREMIER LEAGUE 2024,7(6),LSG,T20,Kolkata,14 Apr 24,116.6,0,1
INDIAN PREMIER LEAGUE 2024,24(18),CSK,T20,Chennai,08 Apr 24,133.3,3,1
INDIAN PREMIER LEAGUE 2024,54(27),DC,T20,Visakhapatnam,03 Apr 24,200,5,3
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,29 Mar 24,DNB,DNB,DNB
