Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,6(8),KKR,T20,Hyderabad,03 May 26,75,1,0
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,29 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1*(1),RR,T20,Jaipur,25 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Hyderabad,21 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,2(4),CSK,T20,Hyderabad,18 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,6(5),RR,T20,Hyderabad,13 Apr 26,120,1,0
INDIAN PREMIER LEAGUE 2026,18(9),PBKS,T20,New Chandigarh,11 Apr 26,200,1,1
INDIAN PREMIER LEAGUE 2026,2*(5),LSG,T20,Hyderabad,05 Apr 26,40,0,0
INDIAN PREMIER LEAGUE 2026,1(4),KKR,T20,Kolkata,02 Apr 26,25,0,0
INDIAN PREMIER LEAGUE 2026,43(18),RCB,T20,Bengaluru,28 Mar 26,238.8,3,4
INDIAN PREMIER LEAGUE 2025,12*(6),KKR,T20,Delhi,25 May 25,200,1,1
INDIAN PREMIER LEAGUE 2025,26(9),RCB,T20,Lucknow,23 May 25,288.8,1,3
INDIAN PREMIER LEAGUE 2025,5*(2),LSG,T20,Lucknow,19 May 25,250,1,0
INDIAN PREMIER LEAGUE 2025,3(7),GT,T20,Ahmedabad,02 May 25,42.8,0,0
INDIAN PREMIER LEAGUE 2025,19(19),CSK,T20,Chennai,25 Apr 25,100,0,2
INDIAN PREMIER LEAGUE 2025,12(14),MI,T20,Hyderabad,23 Apr 25,85.7,1,0
INDIAN PREMIER LEAGUE 2025,18*(8),MI,T20,Mumbai,17 Apr 25,225,0,2
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Hyderabad,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,18(14),GT,T20,Hyderabad,06 Apr 25,128.5,2,0
INDIAN PREMIER LEAGUE 2025,6(6),KKR,T20,Kolkata,03 Apr 25,100,1,0
INDIAN PREMIER LEAGUE 2025,74(41),DC,T20,Visakhapatnam,30 Mar 25,180.4,5,6
INDIAN PREMIER LEAGUE 2025,36(13),LSG,T20,Hyderabad,27 Mar 25,276.9,0,5
INDIAN PREMIER LEAGUE 2025,7(3),RR,T20,Hyderabad,23 Mar 25,233.3,0,1
