Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,05 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Chennai,02 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Chennai,26 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,23 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,13*(8),SRH,T20,Hyderabad,18 Apr 26,162.5,0,1
INDIAN PREMIER LEAGUE 2026,DNB,KKR,T20,Chennai,14 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Chennai,11 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,19*(12),RCB,T20,Bengaluru,05 Apr 26,158.3,1,1
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Chennai,03 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,7*(10),RR,T20,Guwahati,30 Mar 26,70,1,0
"INDIA TOUR OF ENGLAND, 2025",0 & DNB,ENG,Test,Manchester,23 Jul 25,0 & DNB,0 & DNB,0 & DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,5*(3),RR,T20,Delhi,20 May 25,166.6,1,0
INDIAN PREMIER LEAGUE 2025,4*(1),KKR,T20,Kolkata,07 May 25,400,1,0
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,03 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,0(1),PBKS,T20,Chennai,30 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,2(4),SRH,T20,Chennai,25 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,14 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,3*(3),KKR,T20,Chennai,11 Apr 25,100,0,0
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Mumbai,17 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,2*(2),KKR,T20,Kolkata,11 May 24,100,0,0
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Mumbai,06 May 24,DNB,DNB,DNB
