Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,8*(5),PBKS,T20,Ahmedabad,03 May 26,160,1,0
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Ahmedabad,30 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Chennai,26 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,20(14),CSK,T20,Ahmedabad,25 May 25,142.8,0,3
INDIAN PREMIER LEAGUE 2025,1(3),LSG,T20,Ahmedabad,22 May 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),MI,T20,Mumbai,06 May 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Ahmedabad,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Ahmedabad,09 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,02 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),PBKS,T20,Ahmedabad,25 Mar 25,100,0,0
INDIAN PREMIER LEAGUE 2024,0(1),MI,T20,Mumbai,17 May 24,0,0,0
INDIAN PREMIER LEAGUE 2024,58*(33),DC,T20,Delhi,14 May 24,175.7,3,5
INDIAN PREMIER LEAGUE 2024,5(4),KKR,T20,Kolkata,14 Apr 24,125,1,0
INDIAN PREMIER LEAGUE 2024,20*(16),DC,T20,Lucknow,12 Apr 24,125,2,0
INDIAN PREMIER LEAGUE 2023,1(2),CSK,T20,Chennai,06 May 23,50,0,0
INDIAN PREMIER LEAGUE 2023,DNB,PBKS,T20,Mohali,03 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Mumbai,30 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Delhi,11 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,2(4),CSK,T20,Mumbai,08 Apr 23,50,0,0
INDIAN PREMIER LEAGUE 2023,15*(9),RCB,T20,Bengaluru,02 Apr 23,166.6,0,1
