Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-43,SRH,T20,Hyderabad,06 May 26,10.7,4,0
INDIAN PREMIER LEAGUE 2026,2-24,GT,T20,Ahmedabad,03 May 26,6,4,0
INDIAN PREMIER LEAGUE 2026,1-68,RR,T20,New Chandigarh,28 Apr 26,17,4,0
INDIAN PREMIER LEAGUE 2026,1-49,DC,T20,Delhi,25 Apr 26,12.2,4,0
INDIAN PREMIER LEAGUE 2026,1-41,LSG,T20,New Chandigarh,19 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,3-22,MI,T20,Mumbai,16 Apr 26,5.5,4,0
INDIAN PREMIER LEAGUE 2026,2-50,SRH,T20,New Chandigarh,11 Apr 26,12.5,4,0
INDIAN PREMIER LEAGUE 2026,0-16,KKR,T20,Kolkata,06 Apr 26,8,2,0
INDIAN PREMIER LEAGUE 2026,0-41,CSK,T20,Chennai,03 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,0-42,GT,T20,New Chandigarh,31 Mar 26,10.5,4,0
ICC MEN'S T20 WORLD CUP 2026,0-32,NZ,T20I,Ahmedabad,08 Mar 26,8,4,0
ICC MEN'S T20 WORLD CUP 2026,1-51,ENG,T20I,Mumbai,05 Mar 26,12.7,4,0
ICC MEN'S T20 WORLD CUP 2026,0-43,WI,T20I,Kolkata,01 Mar 26,10.7,4,0
ICC MEN'S T20 WORLD CUP 2026,3-24,ZIM,T20I,Chennai,26 Feb 26,6,4,0
ICC MEN'S T20 WORLD CUP 2026,2-28,RSA,T20I,Ahmedabad,22 Feb 26,7,4,0
ICC MEN'S T20 WORLD CUP 2026,0-22,NED,T20I,Ahmedabad,18 Feb 26,7.3,3,0
ICC MEN'S T20 WORLD CUP 2026,1-36,NAM,T20I,Delhi,12 Feb 26,12,3,0
ICC MEN'S T20 WORLD CUP 2026,2-18,USA,T20I,Mumbai,07 Feb 26,4.5,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",5-51,NZ,T20I,Thiruvananthapuram,31 Jan 26,12.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-33,NZ,T20I,Visakhapatnam,28 Jan 26,8.2,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-53,NZ,T20I,Raipur,23 Jan 26,13.2,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-31,NZ,T20I,Nagpur,21 Jan 26,7.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",3-63,NZ,ODI,Indore,18 Jan 26,6.3,10,1
"SOUTH AFRICA TOUR OF INDIA, 2025",1-47,RSA,T20I,Ahmedabad,19 Dec 25,11.7,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-13,RSA,T20I,Dharamsala,14 Dec 25,3.2,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-54,RSA,T20I,New Chandigarh,11 Dec 25,13.5,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-14,RSA,T20I,Cuttack,09 Dec 25,7,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",1-36,RSA,ODI,Visakhapatnam,06 Dec 25,4.5,8,1
"SOUTH AFRICA TOUR OF INDIA, 2025",2-54,RSA,ODI,Raipur,03 Dec 25,5.4,10,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-64,RSA,ODI,Ranchi,30 Nov 25,6.4,10,1
"INDIA TOUR OF AUSTRALIA, 2025",1-22,AUS,T20I,Queensland,06 Nov 25,7.3,3,0
"INDIA TOUR OF AUSTRALIA, 2025",3-35,AUS,T20I,Hobart,02 Nov 25,8.7,4,0
"INDIA TOUR OF AUSTRALIA, 2025",2-41,AUS,ODI,Adelaide,23 Oct 25,5,8.2,0
"INDIA TOUR OF AUSTRALIA, 2025",1-31,AUS,ODI,Perth,19 Oct 25,6.2,5,0
ASIA CUP 2025,1-46,SL,T20I,Dubai,26 Sep 25,11.5,4,0
ASIA CUP 2025,1-37,OMAN,T20I,Abu Dhabi,19 Sep 25,9.2,4,0
INDIAN PREMIER LEAGUE 2025,3-40,RCB,T20,Ahmedabad,03 Jun 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-44,MI,T20,Ahmedabad,01 Jun 25,11,4,0
INDIAN PREMIER LEAGUE 2025,0-20,RCB,T20,New Chandigarh,29 May 25,10,2,0
INDIAN PREMIER LEAGUE 2025,2-28,MI,T20,Jaipur,26 May 25,7,4,0
INDIAN PREMIER LEAGUE 2025,0-35,DC,T20,Jaipur,24 May 25,8.7,4,0
INDIAN PREMIER LEAGUE 2025,0-60,RR,T20,Jaipur,18 May 25,15,4,0
INDIAN PREMIER LEAGUE 2025,3-16,LSG,T20,Dharamsala,04 May 25,4,4,0
INDIAN PREMIER LEAGUE 2025,2-25,CSK,T20,Chennai,30 Apr 25,7.8,3.2,0
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,26 Apr 25,DNB,0,DNB
INDIAN PREMIER LEAGUE 2025,1-26,RCB,T20,New Chandigarh,20 Apr 25,8.6,3,0
INDIAN PREMIER LEAGUE 2025,2-23,RCB,T20,Bengaluru,18 Apr 25,7.6,3,0
INDIAN PREMIER LEAGUE 2025,1-11,KKR,T20,New Chandigarh,15 Apr 25,3.6,3,1
INDIAN PREMIER LEAGUE 2025,1-37,SRH,T20,Hyderabad,12 Apr 25,9.2,4,0
INDIAN PREMIER LEAGUE 2025,0-39,CSK,T20,New Chandigarh,08 Apr 25,9.7,4,0
INDIAN PREMIER LEAGUE 2025,1-35,RR,T20,New Chandigarh,05 Apr 25,8.7,4,0
INDIAN PREMIER LEAGUE 2025,3-43,LSG,T20,Lucknow,01 Apr 25,10.7,4,0
INDIAN PREMIER LEAGUE 2025,2-36,GT,T20,Ahmedabad,25 Mar 25,9,4,0
"ENGLAND TOUR OF INDIA, 2025",2-33,ENG,ODI,Ahmedabad,12 Feb 25,6.6,5,0
"ENGLAND TOUR OF INDIA, 2025",1-35,ENG,T20I,Pune,31 Jan 25,10.2,3.4,0
"ENGLAND TOUR OF INDIA, 2025",1-40,ENG,T20I,Chennai,25 Jan 25,10,4,0
"ENGLAND TOUR OF INDIA, 2025",2-17,ENG,T20I,Kolkata,22 Jan 25,4.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",3-20,RSA,T20I,Johannesburg,15 Nov 24,6.6,3,0
"INDIA TOUR OF SOUTH AFRICA, 2024",3-37,RSA,T20I,Centurion,13 Nov 24,9.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",1-41,RSA,T20I,Gqeberha,10 Nov 24,10.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",1-25,RSA,T20I,Durban,08 Nov 24,8.3,3,0
"BANGLADESH TOUR OF INDIA, 2024",1-26,BAN,T20I,Delhi,09 Oct 24,8.6,3,0
"BANGLADESH TOUR OF INDIA, 2024",3-14,BAN,T20I,Gwalior,06 Oct 24,4,3.5,0
"INDIA TOUR OF SRI LANKA, 2024",0-58,SL,ODI,Colombo,04 Aug 24,6.4,9,0
"INDIA TOUR OF SRI LANKA, 2024",2-47,SL,ODI,Colombo,02 Aug 24,5.8,8,0
"INDIA TOUR OF SRI LANKA, 2024",2-24,SL,T20I,Pallekele,28 Jul 24,8,3,0
"INDIA TOUR OF SRI LANKA, 2024",2-24,SL,T20I,Pallekele,27 Jul 24,8,3,0
ICC MENS T20 WORLD CUP 2024,2-20,RSA,T20I,"Bridgetown, Barbados",29 Jun 24,5,4,0
ICC MENS T20 WORLD CUP 2024,0-17,ENG,T20I,Guyana,27 Jun 24,8.5,2,0
ICC MENS T20 WORLD CUP 2024,3-37,AUS,T20I,"Gros Islet, St Lucia",24 Jun 24,9.2,4,0
ICC MENS T20 WORLD CUP 2024,2-30,BAN,T20I,"North Sound, Antigua",22 Jun 24,7.5,4,0
ICC MENS T20 WORLD CUP 2024,3-36,AFG,T20I,"Bridgetown, Barbados",20 Jun 24,9,4,0
ICC MENS T20 WORLD CUP 2024,4-9,USA,T20I,New York,12 Jun 24,2.2,4,0
ICC MENS T20 WORLD CUP 2024,1-31,PAK,T20I,New York,09 Jun 24,7.7,4,0
ICC MENS T20 WORLD CUP 2024,2-35,IRE,T20I,New York,05 Jun 24,8.7,4,0
INDIAN PREMIER LEAGUE 2024,2-37,SRH,T20,Hyderabad,19 May 24,9.2,4,0
INDIAN PREMIER LEAGUE 2024,1-31,RR,T20,Guwahati,15 May 24,7.7,4,0
INDIAN PREMIER LEAGUE 2024,1-41,RCB,T20,Dharamsala,09 May 24,13.6,3,0
INDIAN PREMIER LEAGUE 2024,2-42,CSK,T20,Dharamsala,05 May 24,10.5,4,0
INDIAN PREMIER LEAGUE 2024,1-52,CSK,T20,Chennai,01 May 24,13,4,0
INDIAN PREMIER LEAGUE 2024,2-45,KKR,T20,Kolkata,26 Apr 24,11.2,4,0
INDIAN PREMIER LEAGUE 2024,1-17,GT,T20,New Chandigarh,21 Apr 24,8.1,2.1,0
INDIAN PREMIER LEAGUE 2024,0-35,MI,T20,New Chandigarh,18 Apr 24,11.6,3,0
INDIAN PREMIER LEAGUE 2024,1-45,RR,T20,New Chandigarh,13 Apr 24,12.8,3.5,0
INDIAN PREMIER LEAGUE 2024,4-29,SRH,T20,New Chandigarh,09 Apr 24,7.2,4,0
INDIAN PREMIER LEAGUE 2024,0-33,GT,T20,Ahmedabad,04 Apr 24,8.2,4,0
INDIAN PREMIER LEAGUE 2024,2-30,LSG,T20,Lucknow,30 Mar 24,10,3,0
INDIAN PREMIER LEAGUE 2024,0-40,RCB,T20,Bengaluru,25 Mar 24,12.5,3.2,0
INDIAN PREMIER LEAGUE 2024,2-28,DC,T20,New Chandigarh,23 Mar 24,7,4,0
"AFGHANISTAN TOUR OF INDIA, 2024",3-32,AFG,T20I,Indore,14 Jan 24,8,4,0
"AFGHANISTAN TOUR OF INDIA, 2024",0-28,AFG,T20I,Mohali,11 Jan 24,7,4,1
"INDIA TOUR OF SOUTH AFRICA, 2023-24",4-30,RSA,ODI,Paarl,21 Dec 23,3.3,9,1
"INDIA TOUR OF SOUTH AFRICA, 2023-24",1-28,RSA,ODI,Gqeberha,19 Dec 23,3.5,8,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",5-37,RSA,ODI,Johannesburg,17 Dec 23,3.7,10,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",1-13,RSA,T20I,Johannesburg,14 Dec 23,6.5,2,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",0-31,RSA,T20I,Gqeberha,12 Dec 23,15.5,2,0
"AUSTRALIA TOUR OF INDIA, 2023",2-40,AUS,T20I,Bengaluru,03 Dec 23,10,4,0
"AUSTRALIA TOUR OF INDIA, 2023",1-44,AUS,T20I,Guwahati,28 Nov 23,11,4,0
"AUSTRALIA TOUR OF INDIA, 2023",1-46,AUS,T20I,Thiruvananthapuram,26 Nov 23,11.5,4,0
"AUSTRALIA TOUR OF INDIA, 2023",0-41,AUS,T20I,Visakhapatnam,23 Nov 23,10.2,4,0
ASIAN GAMES MENS T20I 2023,1-17,AFG,T20I,Hangzhou,07 Oct 23,5.6,3,0
ASIAN GAMES MENS T20I 2023,1-10,BAN,T20I,Hangzhou,06 Oct 23,3.3,3,0
ASIAN GAMES MENS T20I 2023,2-43,NEP,T20I,Hangzhou,03 Oct 23,10.7,4,0
"INDIA TOUR OF IRELAND, 2023",1-29,IRE,T20I,Dublin,20 Aug 23,7.2,4,0
"INDIA TOUR OF IRELAND, 2023",1-35,IRE,T20I,Dublin,18 Aug 23,8.7,4,0
"INDIA TOUR OF WEST INDIES, 2023",1-20,WI,T20I,"Lauderhill, Florida",13 Aug 23,10,2,0
"INDIA TOUR OF WEST INDIES, 2023",3-38,WI,T20I,"Lauderhill, Florida",12 Aug 23,9.5,4,0
"INDIA TOUR OF WEST INDIES, 2023",0-33,WI,T20I,Guyana,08 Aug 23,11,3,0
"INDIA TOUR OF WEST INDIES, 2023",1-34,WI,T20I,Guyana,06 Aug 23,8.5,4,0
"INDIA TOUR OF WEST INDIES, 2023",2-31,WI,T20I,"Tarouba, Trinidad",03 Aug 23,7.7,4,0
INDIAN PREMIER LEAGUE 2023,1-40,RR,T20,Dharamsala,19 May 23,10,4,0
INDIAN PREMIER LEAGUE 2023,0-21,DC,T20,Dharamsala,17 May 23,10.5,2,0
INDIAN PREMIER LEAGUE 2023,0-32,DC,T20,Delhi,13 May 23,8,4,0
INDIAN PREMIER LEAGUE 2023,0-39,KKR,T20,Kolkata,08 May 23,9.7,4,0
INDIAN PREMIER LEAGUE 2023,1-66,MI,T20,Mohali,03 May 23,18.8,3.5,0
INDIAN PREMIER LEAGUE 2023,1-37,CSK,T20,Chennai,30 Apr 23,9.2,4,0
INDIAN PREMIER LEAGUE 2023,1-54,LSG,T20,Mohali,28 Apr 23,13.5,4,0
INDIAN PREMIER LEAGUE 2023,4-29,MI,T20,Mumbai,22 Apr 23,7.2,4,0
INDIAN PREMIER LEAGUE 2023,1-34,RCB,T20,Mohali,20 Apr 23,8.5,4,0
INDIAN PREMIER LEAGUE 2023,1-22,LSG,T20,Lucknow,15 Apr 23,7.3,3,0
INDIAN PREMIER LEAGUE 2023,1-33,GT,T20,Mohali,13 Apr 23,8.2,4,0
INDIAN PREMIER LEAGUE 2023,1-20,SRH,T20,Hyderabad,09 Apr 23,6.6,3,0
INDIAN PREMIER LEAGUE 2023,2-47,RR,T20,Guwahati,05 Apr 23,11.7,4,0
INDIAN PREMIER LEAGUE 2023,3-19,KKR,T20,Mohali,01 Apr 23,6.3,3,0
"NEW ZEALAND TOUR OF INDIA, 2023",2-16,NZ,T20I,Ahmedabad,01 Feb 23,5.3,3,0
"NEW ZEALAND TOUR OF INDIA, 2023",2-7,NZ,T20I,Lucknow,29 Jan 23,3.5,2,0
"NEW ZEALAND TOUR OF INDIA, 2023",1-51,NZ,T20I,Ranchi,27 Jan 23,12.7,4,0
"SRI LANKA TOUR OF INDIA, 2023",3-20,SL,T20I,Rajkot,07 Jan 23,8.3,2.4,0
"SRI LANKA TOUR OF INDIA, 2023",0-37,SL,T20I,Pune,05 Jan 23,18.5,2,0
"INDIA TOUR OF NEW ZEALAND, 2022",0-21,NZ,ODI,Christchurch,30 Nov 22,4.2,5,1
"INDIA TOUR OF NEW ZEALAND, 2022",0-68,NZ,ODI,Auckland,25 Nov 22,8.4,8.1,0
"INDIA TOUR OF NEW ZEALAND, 2022",4-37,NZ,T20I,Napier,22 Nov 22,9.2,4,0
"INDIA TOUR OF NEW ZEALAND, 2022",0-29,NZ,T20I,Mount Maunganui,20 Nov 22,9.6,3,0
ICC MENS T20 WORLD CUP 2022,0-15,ENG,T20I,Adelaide,10 Nov 22,7.5,2,0
ICC MENS T20 WORLD CUP 2022,1-9,ZIM,T20I,Melbourne,06 Nov 22,4.5,2,0
ICC MENS T20 WORLD CUP 2022,2-38,BAN,T20I,Adelaide,02 Nov 22,9.5,4,0
