Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-56,MI,T20,Mumbai,04 May 26,16.4,3.4,0
INDIAN PREMIER LEAGUE 2026,0-46,PBKS,T20,New Chandigarh,19 Apr 26,15.3,3,0
INDIAN PREMIER LEAGUE 2026,2-23,RCB,T20,Bengaluru,15 Apr 26,5.7,4,0
INDIAN PREMIER LEAGUE 2026,0-24,GT,T20,Lucknow,12 Apr 26,12,2,0
INDIAN PREMIER LEAGUE 2026,1-44,KKR,T20,Kolkata,09 Apr 26,11,4,0
INDIAN PREMIER LEAGUE 2026,2-36,SRH,T20,Hyderabad,05 Apr 26,9,4,0
INDIAN PREMIER LEAGUE 2025,1-32,RCB,T20,Lucknow,27 May 25,10.6,3,0
INDIAN PREMIER LEAGUE 2025,2-51,GT,T20,Ahmedabad,22 May 25,14.5,3.5,0
INDIAN PREMIER LEAGUE 2025,0-25,SRH,T20,Lucknow,19 May 25,8.3,3,0
INDIAN PREMIER LEAGUE 2025,0-57,PBKS,T20,Dharamsala,04 May 25,14.2,4,0
INDIAN PREMIER LEAGUE 2025,2-42,MI,T20,Mumbai,27 Apr 25,10.5,4,0
INDIAN PREMIER LEAGUE 2025,0-19,DC,T20,Lucknow,22 Apr 25,6.3,3,0
INDIAN PREMIER LEAGUE 2025,3-37,RR,T20,Jaipur,19 Apr 25,9.2,4,0
INDIAN PREMIER LEAGUE 2025,1-32,CSK,T20,Lucknow,14 Apr 25,9.7,3.3,0
INDIAN PREMIER LEAGUE 2025,1-32,GT,T20,Lucknow,12 Apr 25,8,4,0
INDIAN PREMIER LEAGUE 2025,1-45,KKR,T20,Kolkata,08 Apr 25,11.2,4,0
INDIAN PREMIER LEAGUE 2025,1-40,MI,T20,Lucknow,04 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-30,PBKS,T20,Lucknow,01 Apr 25,10,3,0
INDIAN PREMIER LEAGUE 2025,1-45,SRH,T20,Hyderabad,27 Mar 25,11.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",0-23,RSA,T20I,Gqeberha,10 Nov 24,7.6,3,0
