Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,11(22),KKR,T20,Delhi,08 May 26,50,0,0
INDIAN PREMIER LEAGUE 2026,2(6),CSK,T20,Delhi,05 May 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Jaipur,01 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(3),RCB,T20,Delhi,27 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Delhi,25 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,2(3),SRH,T20,Hyderabad,21 Apr 26,66.6,0,0
INDIAN PREMIER LEAGUE 2026,26(19),RCB,T20,Bengaluru,18 Apr 26,136.8,3,0
INDIAN PREMIER LEAGUE 2026,1(2),CSK,T20,Chennai,11 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,2(3),GT,T20,Delhi,08 Apr 26,66.6,0,0
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Delhi,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(1),LSG,T20,Lucknow,01 Apr 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,NZ,T20I,Ahmedabad,08 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,2*(2),ENG,T20I,Mumbai,05 Mar 26,100,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,WI,T20I,Kolkata,01 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,ZIM,T20I,Chennai,26 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,0(1),PAK,T20I,Colombo,15 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,0(1),NAM,T20I,Delhi,12 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,14(11),USA,T20I,Mumbai,07 Feb 26,127.2,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,T20I,Thiruvananthapuram,31 Jan 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",5(5),NZ,T20I,Nagpur,21 Jan 26,100,0,0
"SOUTH AFRICA TOUR OF INDIA, 2025",21(21),RSA,T20I,New Chandigarh,11 Dec 25,100,1,1
"SOUTH AFRICA TOUR OF INDIA, 2025",23(21),RSA,T20I,Cuttack,09 Dec 25,109.5,0,1
"SOUTH AFRICA TOUR OF INDIA, 2025",16 & 26,RSA,Test,Kolkata,14 Nov 25,35.5 & 152.9,2 & 1,0 & 2
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,T20I,Brisbane,08 Nov 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",21*(11),AUS,T20I,Queensland,06 Nov 25,190.9,1,1
"INDIA TOUR OF AUSTRALIA, 2025",17(12),AUS,T20I,Hobart,02 Nov 25,141.6,1,0
"INDIA TOUR OF AUSTRALIA, 2025",7(12),AUS,T20I,Melbourne,31 Oct 25,58.3,0,0
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,T20I,Canberra,29 Oct 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,ODI,Sydney,25 Oct 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",44(41),AUS,ODI,Adelaide,23 Oct 25,107.3,5,0
"INDIA TOUR OF AUSTRALIA, 2025",31(38),AUS,ODI,Perth,19 Oct 25,81.5,3,0
ASIA CUP 2025,DNB,PAK,T20I,Dubai,28 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,21*(15),SL,T20I,Dubai,26 Sep 25,140,1,1
ASIA CUP 2025,10*(15),BAN,T20I,Dubai,24 Sep 25,66.6,0,0
ASIA CUP 2025,DNB,PAK,T20I,Dubai,21 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,26(13),OMAN,T20I,Abu Dhabi,19 Sep 25,200,3,1
ASIA CUP 2025,DNB,PAK,T20I,Dubai,14 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,DNB,UAE,T20I,Dubai,10 Sep 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,25(16),GT,T20,Delhi,18 May 25,156.2,2,1
INDIAN PREMIER LEAGUE 2025,6(7),SRH,T20,Hyderabad,05 May 25,85.7,1,0
INDIAN PREMIER LEAGUE 2025,43(23),KKR,T20,Delhi,29 Apr 25,186.9,4,3
INDIAN PREMIER LEAGUE 2025,15(13),RCB,T20,Delhi,27 Apr 25,115.3,1,1
INDIAN PREMIER LEAGUE 2025,34*(20),LSG,T20,Lucknow,22 Apr 25,170,1,4
INDIAN PREMIER LEAGUE 2025,39(32),GT,T20,Ahmedabad,19 Apr 25,121.8,1,2
INDIAN PREMIER LEAGUE 2025,34(14),RR,T20,Delhi,16 Apr 25,242.8,4,2
