Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,24(19),KKR,T20,Lucknow,26 Apr 26,126.3,0,2
INDIAN PREMIER LEAGUE 2026,0(1),RR,T20,Lucknow,22 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,35(21),PBKS,T20,New Chandigarh,19 Apr 26,166.6,5,1
INDIAN PREMIER LEAGUE 2026,38(24),RCB,T20,Bengaluru,15 Apr 26,158.3,4,1
INDIAN PREMIER LEAGUE 2026,9(11),GT,T20,Lucknow,12 Apr 26,81.8,1,0
INDIAN PREMIER LEAGUE 2026,54(34),KKR,T20,Kolkata,09 Apr 26,158.8,7,2
INDIAN PREMIER LEAGUE 2026,12(9),SRH,T20,Hyderabad,05 Apr 26,133.3,1,0
INDIAN PREMIER LEAGUE 2026,0(3),DC,T20,Lucknow,01 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Lucknow,27 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,22 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,3(5),SRH,T20,Lucknow,19 May 25,60,0,0
INDIAN PREMIER LEAGUE 2025,74(40),PBKS,T20,Dharamsala,04 May 25,185,5,5
INDIAN PREMIER LEAGUE 2025,35(22),MI,T20,Mumbai,27 Apr 25,159,2,2
INDIAN PREMIER LEAGUE 2025,36(21),DC,T20,Lucknow,22 Apr 25,171.4,6,0
INDIAN PREMIER LEAGUE 2025,50(34),RR,T20,Jaipur,19 Apr 25,147,5,1
INDIAN PREMIER LEAGUE 2025,22(17),CSK,T20,Lucknow,14 Apr 25,129.4,1,2
INDIAN PREMIER LEAGUE 2025,28*(20),GT,T20,Lucknow,12 Apr 25,140,2,1
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,08 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,30(19),MI,T20,Lucknow,04 Apr 25,157.8,4,0
INDIAN PREMIER LEAGUE 2025,41(33),PBKS,T20,Lucknow,01 Apr 25,124.2,1,3
INDIAN PREMIER LEAGUE 2025,6(6),SRH,T20,Hyderabad,27 Mar 25,100,1,0
INDIAN PREMIER LEAGUE 2025,4(5),DC,T20,Visakhapatnam,24 Mar 25,80,0,0
INDIAN PREMIER LEAGUE 2024,22*(10),MI,T20,Mumbai,17 May 24,220,1,2
INDIAN PREMIER LEAGUE 2024,6(9),DC,T20,Delhi,14 May 24,66.6,0,0
INDIAN PREMIER LEAGUE 2024,55*(30),SRH,T20,Hyderabad,08 May 24,183.3,9,0
INDIAN PREMIER LEAGUE 2024,15(12),KKR,T20,Lucknow,05 May 24,125,0,1
INDIAN PREMIER LEAGUE 2024,6(6),MI,T20,Lucknow,30 Apr 24,100,1,0
INDIAN PREMIER LEAGUE 2024,18*(13),RR,T20,Lucknow,27 Apr 24,138.4,1,0
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Chennai,23 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Lucknow,19 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,29(27),KKR,T20,Kolkata,14 Apr 24,107.4,2,1
INDIAN PREMIER LEAGUE 2024,55*(35),DC,T20,Lucknow,12 Apr 24,157.1,5,1
INDIAN PREMIER LEAGUE 2024,20(11),GT,T20,Lucknow,07 Apr 24,181.8,3,0
INDIAN PREMIER LEAGUE 2024,0(3),RCB,T20,Bengaluru,02 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,8(10),PBKS,T20,Lucknow,30 Mar 24,80,0,0
INDIAN PREMIER LEAGUE 2024,1(5),RR,T20,Jaipur,24 Mar 24,20,0,0
INDIAN PREMIER LEAGUE 2023,1(7),MI,T20,Chennai,24 May 23,14.2,0,0
INDIAN PREMIER LEAGUE 2023,25(21),KKR,T20,Kolkata,20 May 23,119,2,1
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Lucknow,16 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,SRH,T20,Hyderabad,13 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,21(11),GT,T20,Ahmedabad,07 May 23,190.9,1,2
INDIAN PREMIER LEAGUE 2023,59*(33),CSK,T20,Lucknow,03 May 23,178.7,2,4
INDIAN PREMIER LEAGUE 2023,4(11),RCB,T20,Lucknow,01 May 23,36.3,0,0
INDIAN PREMIER LEAGUE 2023,43(24),PBKS,T20,Mohali,28 Apr 23,179.1,3,3
INDIAN PREMIER LEAGUE 2023,8(6),GT,T20,Lucknow,22 Apr 23,133.3,0,0
INDIAN PREMIER LEAGUE 2023,1(4),RR,T20,Jaipur,19 Apr 23,25,0,0
INDIAN PREMIER LEAGUE 2023,5*(6),PBKS,T20,Lucknow,15 Apr 23,83.3,0,0
INDIAN PREMIER LEAGUE 2023,30(24),RCB,T20,Bengaluru,10 Apr 23,125,4,0
INDIAN PREMIER LEAGUE 2023,DNB,SRH,T20,Lucknow,07 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,23(18),CSK,T20,Chennai,03 Apr 23,127.7,0,0
INDIAN PREMIER LEAGUE 2023,18(7),DC,T20,Lucknow,01 Apr 23,257.1,1,2
INDIAN PREMIER LEAGUE 2022,0(1),RR,T20,Mumbai,15 May 22,0,0,0
INDIAN PREMIER LEAGUE 2022,8(11),GT,T20,Pune,10 May 22,72.7,1,0
INDIAN PREMIER LEAGUE 2022,15*(18),KKR,T20,Pune,07 May 22,83.3,0,0
INDIAN PREMIER LEAGUE 2022,DNB,DC,T20,Mumbai,01 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,4(4),PBKS,T20,Pune,29 Apr 22,100,0,0
INDIAN PREMIER LEAGUE 2022,14(11),MI,T20,Mumbai,24 Apr 22,127.2,0,1
INDIAN PREMIER LEAGUE 2022,13(13),RCB,T20,Navi Mumbai,19 Apr 22,100,2,0
INDIAN PREMIER LEAGUE 2022,DNB,MI,T20,Mumbai,16 Apr 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,5(7),RR,T20,Mumbai,10 Apr 22,71.4,0,0
INDIAN PREMIER LEAGUE 2022,10*(3),DC,T20,Navi Mumbai,07 Apr 22,333.3,1,1
INDIAN PREMIER LEAGUE 2022,19(12),SRH,T20,Navi Mumbai,04 Apr 22,158.3,3,0
INDIAN PREMIER LEAGUE 2022,19*(9),CSK,T20,Mumbai,31 Mar 22,211.1,0,2
INDIAN PREMIER LEAGUE 2022,54(41),GT,T20,Mumbai,28 Mar 22,131.7,4,3
