Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,30(13),SRH,T20,Hyderabad,18 Apr 26,230.7,5,1
INDIAN PREMIER LEAGUE 2026,38(17),KKR,T20,Chennai,14 Apr 26,223.5,6,2
INDIAN PREMIER LEAGUE 2026,59(36),DC,T20,Chennai,11 Apr 26,163.8,3,4
INDIAN PREMIER LEAGUE 2026,1(3),RCB,T20,Bengaluru,05 Apr 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,73(43),PBKS,T20,Chennai,03 Apr 26,169.7,6,5
INDIAN PREMIER LEAGUE 2026,0(1),RR,T20,Guwahati,30 Mar 26,0,0,0
INDIAN PREMIER LEAGUE 2025,34(17),GT,T20,Ahmedabad,25 May 25,200,3,3
INDIAN PREMIER LEAGUE 2025,43(20),RR,T20,Delhi,20 May 25,215,8,1
INDIAN PREMIER LEAGUE 2025,0(2),KKR,T20,Kolkata,07 May 25,0,0,0
INDIAN PREMIER LEAGUE 2025,94(48),RCB,T20,Bengaluru,03 May 25,195.8,9,5
INDIAN PREMIER LEAGUE 2025,7(6),PBKS,T20,Chennai,30 Apr 25,116.6,1,0
INDIAN PREMIER LEAGUE 2025,30(19),SRH,T20,Chennai,25 Apr 25,157.8,6,0
INDIAN PREMIER LEAGUE 2025,32(15),MI,T20,Mumbai,20 Apr 25,213.3,4,2
