Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Kolkata,02 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,29 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,RSA,T20I,Delhi,01 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,IND,T20I,Chennai,26 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,0(5),WI,T20I,Mumbai,23 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,DNB,SL,T20I,Colombo,19 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,AUS,T20I,Colombo,13 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,OMAN,T20I,Colombo,09 Feb 26,DNB,DNB,DNB
AFGHANISTAN TOUR OF ZIMBABWE 2025,1(2),AFG,T20I,Harare,29 Oct 25,50,0,0
AFGHANISTAN TOUR OF ZIMBABWE 2025,5 & DNB,AFG,Test,Harare,20 Oct 25,50 & DNB,1 & DNB,0 & DNB
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,DNB,NAM,T20I,Harare,04 Oct 25,DNB,DNB,DNB
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,DNB,KEN,T20I,Harare,02 Oct 25,DNB,DNB,DNB
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,DNB,TAN,T20I,Harare,30 Sep 25,DNB,DNB,DNB
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,DNB,BW,T20I,Harare,28 Sep 25,DNB,DNB,DNB
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,DNB,UGA,T20I,Harare,26 Sep 25,DNB,DNB,DNB
NAMIBIA TOUR OF ZIMBABWE 2025,6(5),NAM,T20I,Bulawayo,18 Sep 25,120,1,0
NAMIBIA TOUR OF ZIMBABWE 2025,DNB,NAM,T20I,Bulawayo,15 Sep 25,DNB,DNB,DNB
"SRI LANKA TOUR OF ZIMBABWE, 2025",DNB,SL,T20I,Harare,07 Sep 25,DNB,DNB,DNB
"SRI LANKA TOUR OF ZIMBABWE, 2025",DNB,SL,T20I,Harare,06 Sep 25,DNB,DNB,DNB
"SRI LANKA TOUR OF ZIMBABWE, 2025",DNB,SL,T20I,Harare,03 Sep 25,DNB,DNB,DNB
"SRI LANKA TOUR OF ZIMBABWE, 2025",DNB,SL,ODI,Harare,31 Aug 25,DNB,DNB,DNB
