Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,4-41,SRH,T20,Kolkata,02 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,0-34,MI,T20,Mumbai,29 Mar 26,11.3,3,0
ICC MEN'S T20 WORLD CUP 2026,1-32,RSA,T20I,Delhi,01 Mar 26,9.1,3.5,0
ICC MEN'S T20 WORLD CUP 2026,1-43,IND,T20I,Chennai,26 Feb 26,10.7,4,0
ICC MEN'S T20 WORLD CUP 2026,2-42,WI,T20I,Mumbai,23 Feb 26,10.5,4,0
ICC MEN'S T20 WORLD CUP 2026,2-38,SL,T20I,Colombo,19 Feb 26,9.5,4,0
ICC MEN'S T20 WORLD CUP 2026,4-17,AUS,T20I,Colombo,13 Feb 26,4.2,4,0
ICC MEN'S T20 WORLD CUP 2026,3-16,OMAN,T20I,Colombo,09 Feb 26,4,4,1
AFGHANISTAN TOUR OF ZIMBABWE 2025,2-41,AFG,T20I,Harare,29 Oct 25,10.2,4,0
AFGHANISTAN TOUR OF ZIMBABWE 2025,3-47 & 3-48,AFG,Test,Harare,20 Oct 25,4.2 & 4,11 & 12,1 & 1
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,0-27,NAM,T20I,Harare,04 Oct 25,6.7,4,0
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,2-19,KEN,T20I,Harare,02 Oct 25,4.7,4,0
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,0-29,TAN,T20I,Harare,30 Sep 25,7.2,4,0
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,1-9,BW,T20I,Harare,28 Sep 25,3,3,0
ICC MENS T20 WORLD CUP AFRICA REGIONAL FINAL 2025,3-20,UGA,T20I,Harare,26 Sep 25,5,4,0
NAMIBIA TOUR OF ZIMBABWE 2025,1-48,NAM,T20I,Bulawayo,18 Sep 25,12,4,0
NAMIBIA TOUR OF ZIMBABWE 2025,2-38,NAM,T20I,Bulawayo,15 Sep 25,9.5,4,0
