Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,33*(27),DC,T20,Delhi,08 May 26,122.2,0,2
INDIAN PREMIER LEAGUE 2026,3*(3),SRH,T20,Hyderabad,03 May 26,100,0,0
INDIAN PREMIER LEAGUE 2026,34(21),LSG,T20,Lucknow,26 Apr 26,161.9,0,3
INDIAN PREMIER LEAGUE 2026,27(13),RR,T20,Kolkata,19 Apr 26,207.6,4,1
INDIAN PREMIER LEAGUE 2026,79(55),GT,T20,Ahmedabad,17 Apr 26,143.6,7,4
INDIAN PREMIER LEAGUE 2026,0(1),CSK,T20,Chennai,14 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,32*(24),LSG,T20,Kolkata,09 Apr 26,133.3,3,1
INDIAN PREMIER LEAGUE 2026,4(2),PBKS,T20,Kolkata,06 Apr 26,200,1,0
INDIAN PREMIER LEAGUE 2026,2(2),SRH,T20,Kolkata,02 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,18(10),MI,T20,Mumbai,29 Mar 26,180,1,1
ICC MEN'S T20 WORLD CUP 2026,DNB,OMAN,T20I,Pallekele,20 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,3(7),SL,T20I,Pallekele,16 Feb 26,42.8,0,0
ICC MEN'S T20 WORLD CUP 2026,0(2),ZIM,T20I,Colombo,13 Feb 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,21(11),IRE,T20I,Colombo,11 Feb 26,190.9,1,2
"AUSTRALIA TOUR OF PAKISTAN, 2026",22(24),PAK,T20I,Lahore,01 Feb 26,91.6,2,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",35(20),PAK,T20I,Lahore,31 Jan 26,175,1,2
"AUSTRALIA TOUR OF PAKISTAN, 2026",36(31),PAK,T20I,Lahore,29 Jan 26,116.1,3,1
"THE ASHES, 2025-26",37 & 22*,ENG,Test,Sydney,04 Jan 26,57.8 & 81.4,3 & 3,1 & 0
"THE ASHES, 2025-26",17 & 19,ENG,Test,Melbourne,26 Dec 25,50 & 65.5,2 & 3,0 & 0
"THE ASHES, 2025-26",0 & 7,ENG,Test,Adelaide,17 Dec 25,0 & 100,0 & 1,0 & 0
"THE ASHES, 2025-26",45 & DNB,ENG,Test,Brisbane,04 Dec 25,78.9 & DNB,7 & DNB,0 & DNB
"THE ASHES, 2025-26",24 & DNB,ENG,Test,Perth,21 Nov 25,48 & DNB,2 & DNB,0 & DNB
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",118*(55),RSA,ODI,Mackay,24 Aug 25,214.5,6,8
