Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-11,MLYW,T20I,Mong Kok,07 May 26,11,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0-20,BTNW,T20I,Gelephu,29 Jan 26,6.6,3,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-22,MLYW,T20I,Gelephu,26 Jan 26,5.5,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-18,BTNW,T20I,Gelephu,25 Jan 26,4.5,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,1-10,BTNW,T20I,Gelephu,22 Jan 26,5,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,2-4,MLYW,T20I,Gelephu,21 Jan 26,4,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",0-11,MLYW,T20I,Kuala Lumpur,01 Dec 25,11,1,0
"ASIAN GAMES WOMENS T20I, 2023",0-16,MLYW,T20I,Hangzhou,19 Sep 23,8,2,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,0-25,MLYW,T20I,Kuala Lumpur,15 Sep 23,8.3,3,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,1-20,MLYW,T20I,Kuala Lumpur,13 Sep 23,5,4,0
HONG KONG WOMEN TOUR OF MALAYSIA 2023,0-12,MLYW,T20I,Kuala Lumpur,12 Sep 23,6,2,0
