Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"GIBRALTAR TOUR OF MALTA, 2026",1(4),Malta,T20I,Marsa,08 May 26,25,0,0
"GIBRALTAR TOUR OF MALTA, 2026",16(24),Malta,T20I,Marsa,07 May 26,66.6,1,0
"GIBRALTAR TOUR OF MALTA, 2026",8(11),Malta,T20I,Marsa,07 May 26,72.7,1,0
BULGARIA T20I TRI-SERIES 2025,2(2),BGR,T20I,Sofia,13 Jul 25,100,0,0
BULGARIA T20I TRI-SERIES 2025,38(16),TKY,T20I,Sofia,12 Jul 25,237.5,5,2
BULGARIA T20I TRI-SERIES 2025,DNB,TKY,T20I,Sofia,11 Jul 25,DNB,DNB,DNB
BULGARIA T20I TRI-SERIES 2025,22(11),BGR,T20I,Sofia,11 Jul 25,200,1,2
BULGARIA T20I TRI-SERIES 2025,24*(7),BGR,T20I,Sofia,10 Jul 25,342.8,1,3
"SERBIA TOUR OF GIBRALTAR, 2024",26*(26),SRB,T20I,Gibraltar,30 Sep 24,100,4,0
"SERBIA TOUR OF GIBRALTAR, 2024",23(21),SRB,T20I,Gibraltar,30 Sep 24,109.5,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",1(3),NOR,T20I,Krefeld,13 Jul 24,33.3,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",4(15),SWE,T20I,Krefeld,11 Jul 24,26.6,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",1(3),SLV,T20I,Krefeld,10 Jul 24,33.3,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",15(13),GER,T20I,Krefeld,08 Jul 24,115.3,2,0
CONTINENTAL CUP 2024,8(8),HUN,T20I,Ilfov County,26 May 24,100,1,0
CONTINENTAL CUP 2024,47(42),ROM,T20I,Ilfov County,25 May 24,111.9,4,1
CONTINENTAL CUP 2024,28(19),BGR,T20I,Ilfov County,24 May 24,147.3,3,1
CONTINENTAL CUP 2024,9(13),HUN,T20I,Ilfov County,24 May 24,69.2,1,0
