Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,107*(59),SRH,T20,Hyderabad,06 May 26,181.3,7,8
INDIAN PREMIER LEAGUE 2026,0(1),GT,T20,Ahmedabad,03 May 26,0,0,0
INDIAN PREMIER LEAGUE 2026,30(14),RR,T20,New Chandigarh,28 Apr 26,214.2,2,3
INDIAN PREMIER LEAGUE 2026,17(10),DC,T20,Delhi,25 Apr 26,170,1,1
INDIAN PREMIER LEAGUE 2026,87(46),LSG,T20,New Chandigarh,19 Apr 26,189.1,8,7
INDIAN PREMIER LEAGUE 2026,17(12),MI,T20,Mumbai,16 Apr 26,141.6,1,2
INDIAN PREMIER LEAGUE 2026,11(12),SRH,T20,New Chandigarh,11 Apr 26,91.6,1,0
INDIAN PREMIER LEAGUE 2026,36(22),CSK,T20,Chennai,03 Apr 26,163.6,6,0
INDIAN PREMIER LEAGUE 2026,72*(44),GT,T20,New Chandigarh,31 Mar 26,163.6,5,5
ICC MEN'S T20 WORLD CUP 2026,3(4),SL,T20I,Pallekele,16 Feb 26,75,0,0
ICC MEN'S T20 WORLD CUP 2026,11*(8),IRE,T20I,Colombo,11 Feb 26,137.5,0,1
"AUSTRALIA TOUR OF PAKISTAN, 2026",0(2),PAK,T20I,Lahore,01 Feb 26,0,0,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",1(4),PAK,T20I,Lahore,31 Jan 26,25,0,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",0(2),PAK,T20I,Lahore,29 Jan 26,0,0,0
"INDIA TOUR OF AUSTRALIA, 2025",23(34),IND,ODI,Sydney,25 Oct 25,67.6,2,0
"INDIA TOUR OF AUSTRALIA, 2025",61*(53),IND,ODI,Adelaide,23 Oct 25,115,5,1
"INDIA TOUR OF AUSTRALIA, 2025",DNB,IND,ODI,Perth,19 Oct 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",DNB,RSA,ODI,Mackay,24 Aug 25,DNB,DNB,DNB
"AUSTRALIA TOUR OF WEST INDIES, 2025",0(2),WI,T20I,"Basseterre, St Kitts",27 Jul 25,0,0,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",DNB,WI,T20I,"Basseterre, St Kitts",26 Jul 25,DNB,DNB,DNB
"AUSTRALIA TOUR OF WEST INDIES, 2025",DNB,WI,T20I,"Kingston, Jamaica",23 Jul 25,DNB,DNB,DNB
"AUSTRALIA TOUR OF WEST INDIES, 2025",13(8),WI,T20I,"Kingston, Jamaica",21 Jul 25,162.5,1,1
"ICC CHAMPIONS TROPHY, 2025",0(9),IND,ODI,Dubai,04 Mar 25,0,0,0
"AUSTRALIA TOUR OF SRI LANKA, 2025",3(16),SL,ODI,Colombo,12 Feb 25,18.7,0,0
"AUSTRALIA TOUR OF SRI LANKA, 2025",4 & DNB,SL,Test,Galle,06 Feb 25,66.6 & DNB,1 & DNB,0 & DNB
"PAKISTAN TOUR OF AUSTRALIA, 2024",7(16),PAK,ODI,Perth,10 Nov 24,43.7,0,0
"AUSTRALIA TOUR OF ENGLAND, 2024",DNB,ENG,ODI,Bristol,29 Sep 24,DNB,DNB,DNB
"AUSTRALIA TOUR OF ENGLAND, 2024",DNB,ENG,T20I,Cardiff,13 Sep 24,DNB,DNB,DNB
"AUSTRALIA TOUR OF SCOTLAND, 2024",DNB,SCO,T20I,Edinburgh,07 Sep 24,DNB,DNB,DNB
