Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP 2026,0-27,SL,T20I,Pallekele,16 Feb 26,9,3,0
ICC MEN'S T20 WORLD CUP 2026,0-26,IRE,T20I,Colombo,11 Feb 26,8.6,3,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",1-47,PAK,T20I,Lahore,01 Feb 26,11.7,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",1-30,PAK,T20I,Lahore,31 Jan 26,7.5,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",0-22,PAK,T20I,Lahore,29 Jan 26,7.3,3,0
"INDIA TOUR OF AUSTRALIA, 2025",0-36,IND,ODI,Sydney,25 Oct 25,7.2,5,0
"INDIA TOUR OF AUSTRALIA, 2025",0-11,IND,ODI,Adelaide,23 Oct 25,3.6,3,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",5-22,RSA,ODI,Mackay,24 Aug 25,3.6,6,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",0-10,WI,T20I,"Kingston, Jamaica",23 Jul 25,10,1,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",1-24,WI,T20I,"Kingston, Jamaica",21 Jul 25,12,2,0
"ICC CHAMPIONS TROPHY, 2025",1-37,IND,ODI,Dubai,04 Mar 25,4.6,8,0
"AUSTRALIA TOUR OF SRI LANKA, 2025",0-12 & 0-9,SL,Test,Galle,06 Feb 25,4 & 4.5,3 & 2,1 & 0
"AUSTRALIA TOUR OF ENGLAND, 2024",0-31,ENG,ODI,Bristol,29 Sep 24,7.7,4,0
"AUSTRALIA TOUR OF ENGLAND, 2024",0-20,ENG,T20I,Cardiff,13 Sep 24,10,2,0
"AUSTRALIA TOUR OF SCOTLAND, 2024",0-25,SCO,T20I,Edinburgh,07 Sep 24,8.3,3,0
