Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,DNB,SKR,T20I,Nisshin,08 May 26,DNB,DNB,DNB
"COOK ISLANDS TOUR OF JAPAN, 2025",22(22),JPN,T20I,"Sano, Kanto",14 May 25,100,2,0
"COOK ISLANDS TOUR OF JAPAN, 2025",7(16),JPN,T20I,"Sano, Kanto",13 May 25,43.7,0,0
"JAPAN T20I TRI-SERIES, 2025",15(25),THAI,T20I,"Sano, Kanto",09 May 25,60,1,0
"JAPAN T20I TRI-SERIES, 2025",7(13),JPN,T20I,"Sano, Kanto",09 May 25,53.8,0,1
"JAPAN T20I TRI-SERIES, 2025",8*(11),THAI,T20I,"Sano, Kanto",07 May 25,72.7,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",4(2),FIJI,T20I,Apia,24 Aug 24,200,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",DNB,WSM,T20I,Apia,23 Aug 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",11*(13),VAN,T20I,Apia,21 Aug 24,84.6,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2(6),FIJI,T20I,Apia,20 Aug 24,33.3,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",30*(27),WSM,T20I,Apia,19 Aug 24,111.1,2,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",DNB,VAN,T20I,Apia,17 Aug 24,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",28(16),VAN,T20I,Port Vila,15 Sep 22,175,3,1
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",DNB,FIJI,T20I,Port Vila,14 Sep 22,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",6(10),WSM,T20I,Port Vila,12 Sep 22,60,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",3(9),VAN,T20I,Port Vila,10 Sep 22,33.3,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",DNB,WSM,T20I,Port Vila,09 Sep 22,DNB,DNB,DNB
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",21(27),FIJI,T20I,Port Vila,09 Sep 22,77.7,0,0
