Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,2-4,SKR,T20I,Nisshin,08 May 26,1.8,2.2,0
"COOK ISLANDS TOUR OF JAPAN, 2025",2-27,JPN,T20I,"Sano, Kanto",14 May 25,6.7,4,0
"COOK ISLANDS TOUR OF JAPAN, 2025",0-8,JPN,T20I,"Sano, Kanto",13 May 25,5.3,1.5,0
"JAPAN T20I TRI-SERIES, 2025",2-13,JPN,T20I,"Sano, Kanto",09 May 25,4.3,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",3-21,FIJI,T20I,Apia,24 Aug 24,5.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-24,WSM,T20I,Apia,23 Aug 24,6,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-24,VAN,T20I,Apia,21 Aug 24,6,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-19,FIJI,T20I,Apia,20 Aug 24,4.7,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-14,WSM,T20I,Apia,19 Aug 24,3.5,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-23,VAN,T20I,Apia,17 Aug 24,11.5,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-42,VAN,T20I,Port Vila,15 Sep 22,14,3,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-35,FIJI,T20I,Port Vila,14 Sep 22,8.7,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-28,WSM,T20I,Port Vila,12 Sep 22,7,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-23,VAN,T20I,Port Vila,10 Sep 22,5.7,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-34,FIJI,T20I,Port Vila,09 Sep 22,8.5,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-21,WSM,T20I,Port Vila,09 Sep 22,5.2,4,0
