Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,19(18),RCB,T20,Delhi,27 Apr 26,105.5,3,0
INDIAN PREMIER LEAGUE 2026,3*(3),PBKS,T20,Delhi,25 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,0(1),SRH,T20,Hyderabad,21 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,22*(10),RCB,T20,Bengaluru,18 Apr 26,220,1,2
INDIAN PREMIER LEAGUE 2026,17(14),CSK,T20,Chennai,11 Apr 26,121.4,1,1
INDIAN PREMIER LEAGUE 2026,41*(20),GT,T20,Delhi,08 Apr 26,205,3,3
INDIAN PREMIER LEAGUE 2026,21*(18),MI,T20,Delhi,04 Apr 26,116.6,4,0
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,01 Apr 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,6(6),NZ,T20I,Kolkata,04 Mar 26,100,0,0
ICC MEN'S T20 WORLD CUP 2026,22(16),ZIM,T20I,Delhi,01 Mar 26,137.5,2,2
ICC MEN'S T20 WORLD CUP 2026,DNB,WI,T20I,Ahmedabad,26 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,63(35),IND,T20I,Ahmedabad,22 Feb 26,180,7,3
ICC MEN'S T20 WORLD CUP 2026,24*(17),NZ,T20I,Ahmedabad,14 Feb 26,141.1,1,1
ICC MEN'S T20 WORLD CUP 2026,20*(15),AFG,T20I,Ahmedabad,11 Feb 26,133.3,1,1
ICC MEN'S T20 WORLD CUP 2026,39*(23),CAN,T20I,Ahmedabad,09 Feb 26,169.5,1,3
"SOUTH AFRICA TOUR OF INDIA, 2025",18(14),IND,T20I,Ahmedabad,19 Dec 25,128.5,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",20*(12),IND,T20I,New Chandigarh,11 Dec 25,166.6,2,1
"SOUTH AFRICA TOUR OF INDIA, 2025",1(3),IND,T20I,Cuttack,09 Dec 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,11(8),PBKS,T20,Dharamsala,04 May 25,137.5,0,1
INDIAN PREMIER LEAGUE 2025,24(16),MI,T20,Mumbai,27 Apr 25,150,3,0
INDIAN PREMIER LEAGUE 2025,14*(15),DC,T20,Lucknow,22 Apr 25,93.3,1,0
INDIAN PREMIER LEAGUE 2025,7*(8),RR,T20,Jaipur,19 Apr 25,87.5,0,0
