Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-43,LSG,T20,Mumbai,04 May 26,10.7,4,0
INDIAN PREMIER LEAGUE 2026,0-45,PBKS,T20,Mumbai,16 Apr 26,19.5,2.3,0
INDIAN PREMIER LEAGUE 2026,0-22,RR,T20,Guwahati,07 Apr 26,22,1,0
INDIAN PREMIER LEAGUE 2026,1-20,DC,T20,Delhi,04 Apr 26,6.6,3,0
INDIAN PREMIER LEAGUE 2025,0-28,PBKS,T20,Jaipur,26 May 25,9.3,3,1
INDIAN PREMIER LEAGUE 2025,1-22,DC,T20,Mumbai,21 May 25,7.3,3,0
INDIAN PREMIER LEAGUE 2025,1-32,GT,T20,Mumbai,06 May 25,10.6,3,0
INDIAN PREMIER LEAGUE 2025,1-13,RR,T20,Jaipur,01 May 25,6.5,2,0
INDIAN PREMIER LEAGUE 2025,0-38,LSG,T20,Mumbai,27 Apr 25,12.6,3,0
INDIAN PREMIER LEAGUE 2025,2-12,SRH,T20,Hyderabad,23 Apr 25,3,4,0
INDIAN PREMIER LEAGUE 2025,1-32,CSK,T20,Mumbai,20 Apr 25,8,4,0
INDIAN PREMIER LEAGUE 2025,0-47,SRH,T20,Mumbai,17 Apr 25,11.7,4,0
INDIAN PREMIER LEAGUE 2025,1-24,DC,T20,Delhi,13 Apr 25,8,3,0
INDIAN PREMIER LEAGUE 2025,0-29,RCB,T20,Mumbai,07 Apr 25,14.5,2,0
INDIAN PREMIER LEAGUE 2025,0-23,LSG,T20,Lucknow,04 Apr 25,11.5,2,0
INDIAN PREMIER LEAGUE 2025,2-19,KKR,T20,Mumbai,31 Mar 25,9.5,2,0
INDIAN PREMIER LEAGUE 2025,1-39,GT,T20,Ahmedabad,29 Mar 25,9.7,4,0
INDIAN PREMIER LEAGUE 2025,1-18,CSK,T20,Chennai,23 Mar 25,9,2,0
INDIAN PREMIER LEAGUE 2024,0-4,PBKS,T20,Chennai,01 May 24,20,0.2,0
INDIAN PREMIER LEAGUE 2024,0-22,SRH,T20,Chennai,28 Apr 24,7.3,3,0
INDIAN PREMIER LEAGUE 2024,1-11,LSG,T20,Chennai,23 Apr 24,5.5,2,0
INDIAN PREMIER LEAGUE 2024,0-26,LSG,T20,Lucknow,19 Apr 24,8.6,3,0
INDIAN PREMIER LEAGUE 2024,1-32,SRH,T20,Hyderabad,05 Apr 24,10.3,3.1,0
INDIAN PREMIER LEAGUE 2024,0-42,DC,T20,Visakhapatnam,31 Mar 24,10.5,4,0
INDIAN PREMIER LEAGUE 2024,2-28,GT,T20,Chennai,26 Mar 24,7,4,0
INDIAN PREMIER LEAGUE 2024,1-37,RCB,T20,Chennai,22 Mar 24,9.2,4,0
"AUSTRALIA TOUR OF INDIA, 2023",2-44,AUS,T20I,Raipur,01 Dec 23,11,4,0
INDIAN PREMIER LEAGUE 2023,1-38,GT,T20,Ahmedabad,29 May 23,9.5,4,0
INDIAN PREMIER LEAGUE 2023,2-29,GT,T20,Chennai,23 May 23,7.2,4,0
INDIAN PREMIER LEAGUE 2023,3-22,DC,T20,Delhi,20 May 23,5.5,4,0
INDIAN PREMIER LEAGUE 2023,3-27,KKR,T20,Chennai,14 May 23,9,3,0
INDIAN PREMIER LEAGUE 2023,2-28,DC,T20,Chennai,10 May 23,9.3,3,0
INDIAN PREMIER LEAGUE 2023,2-18,MI,T20,Chennai,06 May 23,6,3,0
