Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,21(17),WSM,T20I,"Sano, Kanto",09 May 26,123.5,0,2
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,1(1),PHI,T20I,"Sano, Kanto",08 May 26,100,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",0(4),MLY,T20I,Kuala Lumpur,05 May 26,0,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",2(4),MLY,T20I,Kuala Lumpur,04 May 26,50,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",0(1),MLY,T20I,Kuala Lumpur,02 May 26,0,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",0(1),MLY,T20I,Kuala Lumpur,01 May 26,0,0,0
"SWEDEN TOUR OF INDONESIA, 2026",1(2),SWE,T20I,Bali,13 Apr 26,50,0,0
"SWEDEN TOUR OF INDONESIA, 2026",13(9),SWE,T20I,Bali,13 Apr 26,144.4,3,0
"SWEDEN TOUR OF INDONESIA, 2026",11(15),SWE,T20I,Bali,11 Apr 26,73.3,1,0
"SWEDEN TOUR OF INDONESIA, 2026",DNB,SWE,T20I,Bali,11 Apr 26,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",1(4),CBD,T20I,Bali,29 Dec 25,25,0,0
"CAMBODIA TOUR OF INDONESIA, 2025",38(36),CBD,T20I,Bali,28 Dec 25,105.5,2,2
"CAMBODIA TOUR OF INDONESIA, 2025",9(8),CBD,T20I,Bali,26 Dec 25,112.5,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",DNB,CBD,T20I,Bali,26 Dec 25,DNB,DNB,DNB
"CAMBODIA TOUR OF INDONESIA, 2025",0(4),CBD,T20I,Bali,25 Dec 25,0,0,0
"CAMBODIA TOUR OF INDONESIA, 2025",6(7),CBD,T20I,Bali,24 Dec 25,85.7,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",110*(68),CBD,T20I,Bali,23 Dec 25,161.7,8,6
"CAMBODIA TOUR OF INDONESIA, 2025",29(25),CBD,T20I,Bali,23 Dec 25,116,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,8(5),SIN,T20I,Bangkok,12 Dec 25,160,2,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,19(13),PHI,T20I,Bangkok,11 Dec 25,146.1,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,5(9),MLY,T20I,Bangkok,10 Dec 25,55.5,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,18(29),THAI,T20I,Bangkok,09 Dec 25,62,3,0
"BAHRAIN TOUR OF INDONESIA, 2025",25(33),BHR,T20I,Bali,19 Nov 25,75.7,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",0(2),BHR,T20I,Bali,18 Nov 25,0,0,0
INDONESIA TRI-SERIES 2025,DNB,MMR,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,11 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,11(9),MMR,T20I,Bali,11 Nov 25,122.2,2,0
INDONESIA TRI-SERIES 2025,0(2),MMR,T20I,Bali,08 Nov 25,0,0,0
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,08 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,30*(24),MMR,T20I,Bali,06 Nov 25,125,1,2
INDONESIA TRI-SERIES 2025,23*(12),TLS,T20I,Bali,06 Nov 25,191.6,2,1
INDONESIA T20I TRI-SERIES 2025,2(13),PHI,T20I,Bali,13 Jul 25,15.3,0,0
INDONESIA T20I TRI-SERIES 2025,19(14),SKR,T20I,Bali,13 Jul 25,135.7,4,0
INDONESIA T20I TRI-SERIES 2025,4(4),SKR,T20I,Bali,12 Jul 25,100,1,0
INDONESIA T20I TRI-SERIES 2025,115*(71),PHI,T20I,Bali,10 Jul 25,161.9,9,7
INDONESIA T20I TRI-SERIES 2025,11*(10),SKR,T20I,Bali,09 Jul 25,110,1,0
INDONESIA T20I TRI-SERIES 2025,38(32),SKR,T20I,Bali,08 Jul 25,118.7,3,2
INDONESIA T20I TRI-SERIES 2025,7(8),PHI,T20I,Bali,07 Jul 25,87.5,1,0
INDONESIA T20I TRI-SERIES 2025,5(6),PHI,T20I,Bali,06 Jul 25,83.3,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",6(3),CBD,T20I,Bali,15 Jun 25,200,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",30(26),CBD,T20I,Bali,14 Jun 25,115.3,6,0
