Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,42(30),DC,T20,Jaipur,01 May 26,140,4,1
INDIAN PREMIER LEAGUE 2026,16(20),PBKS,T20,New Chandigarh,28 Apr 26,80,0,1
INDIAN PREMIER LEAGUE 2026,51(35),SRH,T20,Jaipur,25 Apr 26,145.7,8,1
INDIAN PREMIER LEAGUE 2026,0(1),LSG,T20,Lucknow,22 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,5(7),KKR,T20,Kolkata,19 Apr 26,71.4,0,0
INDIAN PREMIER LEAGUE 2026,0(2),SRH,T20,Hyderabad,13 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,81*(43),RCB,T20,Guwahati,10 Apr 26,188.3,8,3
INDIAN PREMIER LEAGUE 2026,2(3),MI,T20,Guwahati,07 Apr 26,66.6,0,0
INDIAN PREMIER LEAGUE 2026,75(42),GT,T20,Ahmedabad,04 Apr 26,178.5,5,5
INDIAN PREMIER LEAGUE 2026,18(9),CSK,T20,Guwahati,30 Mar 26,200,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0 & 2,RSA,Test,Guwahati,22 Nov 25,0 & 66.6,0 & 0,0 & 0
"SOUTH AFRICA TOUR OF INDIA, 2025",14 & 13,RSA,Test,Kolkata,14 Nov 25,100 & 38.2,3 & 3,0 & 0
"WEST INDIES TOUR OF INDIA, 2025",44 & 6*,WI,Test,Delhi,10 Oct 25,55.7 & 100,5 & 1,0 & 0
"WEST INDIES TOUR OF INDIA, 2025",125 & DNB,WI,Test,Ahmedabad,02 Oct 25,59.5 & DNB,15 & DNB,3 & DNB
"INDIA TOUR OF ENGLAND, 2025",19 & 34,ENG,Test,London,31 Jul 25,47.5 & 73.9,2 & 4,0 & 0
INDIAN PREMIER LEAGUE 2025,31*(12),CSK,T20,Delhi,20 May 25,258.3,2,3
INDIAN PREMIER LEAGUE 2025,53(31),PBKS,T20,Jaipur,18 May 25,170.9,3,4
INDIAN PREMIER LEAGUE 2025,0(1),KKR,T20,Kolkata,04 May 25,0,0,0
INDIAN PREMIER LEAGUE 2025,11(11),MI,T20,Jaipur,01 May 25,100,0,1
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Jaipur,28 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,47(34),RCB,T20,Bengaluru,24 Apr 25,138.2,3,3
INDIAN PREMIER LEAGUE 2025,6*(5),LSG,T20,Jaipur,19 Apr 25,120,0,0
INDIAN PREMIER LEAGUE 2025,26(17),DC,T20,Delhi,16 Apr 25,152.9,0,2
INDIAN PREMIER LEAGUE 2025,35*(23),RCB,T20,Jaipur,13 Apr 25,152.1,2,2
INDIAN PREMIER LEAGUE 2025,5(4),GT,T20,Ahmedabad,09 Apr 25,125,1,0
INDIAN PREMIER LEAGUE 2025,13*(5),PBKS,T20,New Chandigarh,05 Apr 25,260,1,1
INDIAN PREMIER LEAGUE 2025,3(7),CSK,T20,Guwahati,30 Mar 25,42.8,0,0
INDIAN PREMIER LEAGUE 2025,33(28),KKR,T20,Guwahati,26 Mar 25,117.8,5,0
INDIAN PREMIER LEAGUE 2025,70(35),SRH,T20,Hyderabad,23 Mar 25,200,5,6
"ENGLAND TOUR OF INDIA, 2025",2(4),ENG,T20I,Rajkot,28 Jan 25,50,0,0
"ENGLAND TOUR OF INDIA, 2025",4(5),ENG,T20I,Chennai,25 Jan 25,80,0,0
"INDIA TOUR OF AUSTRALIA, 2024-25",11 & 1,AUS,Test,Perth,22 Nov 24,55 & 16.6,2 & 0,0 & 0
"INDIA TOUR OF ZIMBABWE, 2024",DNB,ZIM,T20I,Harare,07 Jul 24,DNB,DNB,DNB
"INDIA TOUR OF ZIMBABWE, 2024",6(14),ZIM,T20I,Harare,06 Jul 24,42.8,1,0
INDIAN PREMIER LEAGUE 2024,56*(35),SRH,T20,Chennai,24 May 24,160,7,2
INDIAN PREMIER LEAGUE 2024,8(8),RCB,T20,Ahmedabad,22 May 24,100,1,0
INDIAN PREMIER LEAGUE 2024,0(1),PBKS,T20,Guwahati,15 May 24,0,0,0
INDIAN PREMIER LEAGUE 2024,28(18),CSK,T20,Chennai,12 May 24,155.5,1,2
INDIAN PREMIER LEAGUE 2024,1(3),SRH,T20,Hyderabad,02 May 24,33.3,0,0
INDIAN PREMIER LEAGUE 2024,52*(34),LSG,T20,Lucknow,27 Apr 24,152.9,5,2
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Jaipur,22 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,2(4),KKR,T20,Kolkata,16 Apr 24,50,0,0
INDIAN PREMIER LEAGUE 2024,6(11),PBKS,T20,New Chandigarh,13 Apr 24,54.5,0,0
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Jaipur,10 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,2(3),RCB,T20,Jaipur,06 Apr 24,66.6,0,0
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Mumbai,01 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,20(12),DC,T20,Jaipur,28 Mar 24,166.6,3,0
INDIAN PREMIER LEAGUE 2024,20*(12),LSG,T20,Jaipur,24 Mar 24,166.6,1,1
"ENGLAND TOUR OF INDIA, 2024",15 & DNB,ENG,Test,Dharamsala,07 Mar 24,62.5 & DNB,2 & DNB,0 & DNB
"ENGLAND TOUR OF INDIA, 2024",90 & 39*,ENG,Test,Ranchi,23 Feb 24,60.4 & 50.6,6 & 2,4 & 0
