Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-36,DC,T20,Hyderabad,21 Apr 26,9,4,0
ICC MEN'S T20 WORLD CUP 2026,3-33,PAK,T20I,Pallekele,28 Feb 26,8.2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-34,NZ,T20I,Colombo,25 Feb 26,11.3,3,0
ICC MEN'S T20 WORLD CUP 2026,2-25,ENG,T20I,Pallekele,22 Feb 26,6.2,4,0
ICC MEN'S T20 WORLD CUP 2026,0-20,ZIM,T20I,Colombo,19 Feb 26,6.6,3,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",1-57,ZIM,ODI,Harare,31 Aug 25,5.7,10,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",4-62,ZIM,ODI,Harare,29 Aug 25,6.2,10,0
"NEW ZEALAND TOUR OF SRI LANKA, 2024",0-23,NZ,ODI,Pallekele,19 Nov 24,11.5,2,0
"NEW ZEALAND TOUR OF SRI LANKA, 2024",3-39,NZ,ODI,Dambulla,13 Nov 24,9.7,4,0
"WEST INDIES TOUR OF SRI LANKA, 2024",1-50,WI,ODI,Pallekele,26 Oct 24,10,5,0
"INDIA TOUR OF SRI LANKA, 2024",1-45,IND,T20I,Pallekele,27 Jul 24,15,3,0
"SRI LANKA TOUR OF BANGLADESH, 2024",2-30,BAN,ODI,Chattogram,15 Mar 24,4.6,6.4,1
"SRI LANKA TOUR OF BANGLADESH, 2024",2-44,BAN,ODI,Chattogram,13 Mar 24,5.5,8,1
"SRI LANKA TOUR OF BANGLADESH, 2024",0-34,BAN,T20I,Sylhet,06 Mar 24,8.5,4,0
"AFGHANISTAN TOUR OF SRI LANKA, 2024",0-52,AFG,ODI,Pallekele,14 Feb 24,8.6,6,0
"AFGHANISTAN TOUR OF SRI LANKA, 2024",2-28,AFG,ODI,Pallekele,11 Feb 24,4,7,1
"AFGHANISTAN TOUR OF SRI LANKA, 2024",0-65,AFG,ODI,Pallekele,09 Feb 24,7.2,9,0
ZIMBABWE TOUR OF SRI LANKA 2024,1-22,ZIM,T20I,Colombo,18 Jan 24,11,2,0
ZIMBABWE TOUR OF SRI LANKA 2024,1-24,ZIM,T20I,Colombo,16 Jan 24,6,4,0
ZIMBABWE TOUR OF SRI LANKA 2024,1-31,ZIM,ODI,Colombo,11 Jan 24,6.2,5,0
ZIMBABWE TOUR OF SRI LANKA 2024,1-24,ZIM,ODI,Colombo,08 Jan 24,3.4,7,1
ZIMBABWE TOUR OF SRI LANKA 2024,2-0,ZIM,ODI,Colombo,06 Jan 24,0,2,2
ICC CRICKET WORLD CUP 2023,0-58,NZ,ODI,Bengaluru,09 Nov 23,9.3,6.2,0
ICC CRICKET WORLD CUP 2023,3-69,BAN,ODI,Delhi,06 Nov 23,6.9,10,1
ICC CRICKET WORLD CUP 2023,5-80,IND,ODI,Mumbai,02 Nov 23,8,10,0
ICC CRICKET WORLD CUP 2023,2-48,AFG,ODI,Pune,30 Oct 23,5.3,9,0
ICC CRICKET WORLD CUP 2023,0-37,ENG,ODI,Bengaluru,26 Oct 23,7.4,5,0
ICC CRICKET WORLD CUP 2023,4-49,NED,ODI,Lucknow,21 Oct 23,5.2,9.4,1
ICC CRICKET WORLD CUP 2023,3-38,AUS,ODI,Lucknow,16 Oct 23,4.2,9,2
ICC CRICKET WORLD CUP 2023,2-60,PAK,ODI,Hyderabad,10 Oct 23,6.5,9.2,0
ICC CRICKET WORLD CUP 2023,2-86,RSA,ODI,Delhi,07 Oct 23,8.6,10,0
"PAKISTAN TOUR OF SRI LANKA, 2023",0-77 & DNB,PAK,Test,Colombo,24 Jul 23,4.5 & DNB,17 & DNB,3 & DNB
ICC CRICKET WORLD CUP QUALIFIERS 2023,3-18,NED,ODI,Harare,09 Jul 23,2.5,7,1
ICC CRICKET WORLD CUP QUALIFIERS 2023,1-49,WI,ODI,Harare,07 Jul 23,4.9,10,0
ICC CRICKET WORLD CUP QUALIFIERS 2023,3-15,ZIM,ODI,Bulawayo,02 Jul 23,3,5,0
ICC CRICKET WORLD CUP QUALIFIERS 2023,1-38,NED,ODI,Bulawayo,30 Jun 23,4.7,8,0
"SRI LANKA TOUR NEW ZEALAND, 2023",0-18,NZ,T20I,Dunedin,05 Apr 23,18,1,0
"SRI LANKA TOUR NEW ZEALAND, 2023",1-45,NZ,T20I,Auckland,02 Apr 23,15,3,0
"SRI LANKA TOUR NEW ZEALAND, 2023",1-58,NZ,ODI,Auckland,25 Mar 23,7.2,8,0
"SRI LANKA TOUR OF INDIA, 2023",1-43,IND,ODI,Guwahati,10 Jan 23,7.1,6,0
"SRI LANKA TOUR OF INDIA, 2023",2-55,IND,T20I,Rajkot,07 Jan 23,13.7,4,0
"SRI LANKA TOUR OF INDIA, 2023",2-45,IND,T20I,Pune,05 Jan 23,11.2,4,0
"SRI LANKA TOUR OF INDIA, 2023",1-35,IND,T20I,Mumbai,03 Jan 23,8.7,4,0
"ASIA CUP, 2022",0-24,PAK,T20I,Dubai,11 Sep 22,8,3,0
"ASIA CUP, 2022",0-35,PAK,T20I,Dubai,09 Sep 22,8.7,4,0
"ASIA CUP, 2022",3-24,IND,T20I,Dubai,06 Sep 22,6,4,0
"ASIA CUP, 2022",2-37,AFG,T20I,Sharjah,03 Sep 22,9.2,4,0
"ASIA CUP, 2022",1-26,BAN,T20I,Dubai,01 Sep 22,6.5,4,0
"ASIA CUP, 2022",0-10,AFG,T20I,Dubai,27 Aug 22,10,1,0
