Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,47*(14),DC,T20,Jaipur,01 May 26,335.7,2,6
INDIAN PREMIER LEAGUE 2026,52*(26),PBKS,T20,New Chandigarh,28 Apr 26,200,6,3
INDIAN PREMIER LEAGUE 2026,33(16),SRH,T20,Jaipur,25 Apr 26,206.2,3,3
INDIAN PREMIER LEAGUE 2026,20(19),LSG,T20,Lucknow,22 Apr 26,105.2,2,0
INDIAN PREMIER LEAGUE 2026,7(7),KKR,T20,Kolkata,19 Apr 26,100,0,1
INDIAN PREMIER LEAGUE 2026,69(44),SRH,T20,Hyderabad,13 Apr 26,156.8,7,3
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Guwahati,10 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Guwahati,07 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1(3),GT,T20,Ahmedabad,04 Apr 26,33.3,0,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0(1),IND,T20I,Ahmedabad,19 Dec 25,0,0,0
"SOUTH AFRICA TOUR OF INDIA, 2025",20(15),IND,T20I,Dharamsala,14 Dec 25,133.3,1,1
"SOUTH AFRICA TOUR OF INDIA, 2025",30*(16),IND,T20I,New Chandigarh,11 Dec 25,187.5,1,3
"SOUTH AFRICA TOUR OF INDIA, 2025",5(7),IND,T20I,Cuttack,09 Dec 25,71.4,1,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",7(11),PAK,ODI,Faisalabad,08 Nov 25,63.6,1,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",DNB,PAK,ODI,Faisalabad,06 Nov 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",3(11),PAK,ODI,Faisalabad,04 Nov 25,27.2,0,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",29(14),PAK,T20I,Lahore,01 Nov 25,207.1,1,3
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",15(15),PAK,T20I,Lahore,31 Oct 25,100,2,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",10(12),PAK,T20I,Rawalpindi,28 Oct 25,83.3,1,0
SOUTH AFRICA TOUR OF NAMIBIA 2025,4(2),NAM,T20I,Windhoek,11 Oct 25,200,1,0
"SOUTH AFRICA TOUR OF ENGLAND, 2025",23(11),ENG,T20I,Manchester,12 Sep 25,209,3,1
"SOUTH AFRICA TOUR OF ENGLAND, 2025",25*(11),ENG,T20I,Cardiff,10 Sep 25,227.2,0,3
INDIAN PREMIER LEAGUE 2025,1(3),GT,T20,Ahmedabad,19 Apr 25,33.3,0,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",DNB,PAK,T20I,Centurion,13 Dec 24,DNB,DNB,DNB
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",7(6),PAK,T20I,Durban,10 Dec 24,116.6,0,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",4(4),WI,T20I,"Tarouba, Trinidad",25 Aug 24,100,0,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2024",8(8),WI,T20I,"Tarouba, Trinidad",23 Aug 24,100,1,0
INDIAN PREMIER LEAGUE 2024,7(8),PBKS,T20,Guwahati,15 May 24,87.5,0,0
INDIAN PREMIER LEAGUE 2024,1(3),DC,T20,Delhi,07 May 24,33.3,0,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",12(11),IND,T20I,Johannesburg,14 Dec 23,109,0,1
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",48(21),AUS,T20I,Durban,03 Sep 23,228.5,1,5
