Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-18,RCB,T20,Delhi,27 Apr 26,9,2,0
ICC MEN'S T20 WORLD CUP 2026,1-48,PAK,T20I,Pallekele,28 Feb 26,12,4,0
ICC MEN'S T20 WORLD CUP 2026,3-38,NZ,T20I,Colombo,25 Feb 26,9.5,4,0
ICC MEN'S T20 WORLD CUP 2026,1-34,ENG,T20I,Pallekele,22 Feb 26,8.5,4,0
ICC MEN'S T20 WORLD CUP 2026,2-36,AUS,T20I,Pallekele,16 Feb 26,9,4,0
ICC MEN'S T20 WORLD CUP 2026,2-19,OMAN,T20I,Pallekele,12 Feb 26,9.5,2,0
ICC MEN'S T20 WORLD CUP 2026,1-25,IRE,T20I,Colombo,08 Feb 26,8.3,3,0
ENGLAND TOUR OF SRI LANKA 2026,5-24,ENG,T20I,Pallekele,03 Feb 26,6,4,0
"PAKISTAN TOUR OF SRI LANKA, 2026",1-34,PAK,T20I,Dambulla,07 Jan 26,8.5,4,0
PAKISTAN T20I TRI-SERIES 2025,0-21,PAK,T20I,Rawalpindi,29 Nov 25,6.1,3.4,0
PAKISTAN T20I TRI-SERIES 2025,4-20,PAK,T20I,Rawalpindi,27 Nov 25,5,4,0
PAKISTAN T20I TRI-SERIES 2025,0-26,ZIM,T20I,Rawalpindi,25 Nov 25,6.5,4,0
PAKISTAN T20I TRI-SERIES 2025,2-29,PAK,T20I,Rawalpindi,22 Nov 25,9.6,3,0
PAKISTAN T20I TRI-SERIES 2025,1-27,ZIM,T20I,Rawalpindi,20 Nov 25,6.7,4,0
SRI LANKA TOUR OF PAKISTAN 2025,2-58,PAK,ODI,Rawalpindi,14 Nov 25,5.8,10,0
SRI LANKA TOUR OF PAKISTAN 2025,0-63,PAK,ODI,Rawalpindi,11 Nov 25,6.3,10,1
ASIA CUP 2025,1-40,IND,T20I,Dubai,26 Sep 25,10,4,0
ASIA CUP 2025,1-31,PAK,T20I,Abu Dhabi,23 Sep 25,7.7,4,0
ASIA CUP 2025,1-32,BAN,T20I,Dubai,20 Sep 25,8,4,0
ASIA CUP 2025,1-50,AFG,T20I,Abu Dhabi,18 Sep 25,12.5,4,0
ASIA CUP 2025,2-29,HKC,T20I,Dubai,15 Sep 25,7.2,4,0
ASIA CUP 2025,1-17,BAN,T20I,Abu Dhabi,13 Sep 25,4.2,4,1
"SRI LANKA TOUR OF ZIMBABWE, 2025",2-33,ZIM,T20I,Harare,07 Sep 25,8.2,4,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",3-19,ZIM,T20I,Harare,06 Sep 25,4.7,4,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",3-30,ZIM,T20I,Harare,03 Sep 25,7.5,4,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",3-52,ZIM,ODI,Harare,31 Aug 25,5.2,10,0
"SRI LANKA TOUR OF ZIMBABWE, 2025",0-48,ZIM,ODI,Harare,29 Aug 25,4.8,10,0
"BANGLADESH TOUR OF SRI LANKA, 2025",3-51,BAN,ODI,Pallekele,08 Jul 25,6.3,8,1
"BANGLADESH TOUR OF SRI LANKA, 2025",1-37,BAN,ODI,Colombo,05 Jul 25,5.2,7,0
INDIAN PREMIER LEAGUE 2025,1-54,MI,T20,Mumbai,21 May 25,13.5,4,0
INDIAN PREMIER LEAGUE 2025,0-22,GT,T20,Delhi,18 May 25,11,2,0
INDIAN PREMIER LEAGUE 2025,1-46,KKR,T20,Delhi,29 Apr 25,15.3,3,0
INDIAN PREMIER LEAGUE 2025,1-24,RCB,T20,Delhi,27 Apr 25,8,3,0
INDIAN PREMIER LEAGUE 2025,1-25,LSG,T20,Lucknow,22 Apr 25,8.3,3,0
INDIAN PREMIER LEAGUE 2024,0-48,PBKS,T20,Kolkata,26 Apr 24,16,3,0
"AFGHANISTAN TOUR OF SRI LANKA, 2024",2-55,AFG,ODI,Pallekele,09 Feb 24,7.5,7.3,0
ZIMBABWE TOUR OF SRI LANKA 2024,0-13,ZIM,T20I,Colombo,18 Jan 24,6.5,2,0
ZIMBABWE TOUR OF SRI LANKA 2024,2-30,ZIM,T20I,Colombo,16 Jan 24,7.5,4,0
ZIMBABWE TOUR OF SRI LANKA 2024,1-38,ZIM,T20I,Colombo,14 Jan 24,9.5,4,0
ZIMBABWE TOUR OF SRI LANKA 2024,0-14,ZIM,ODI,Colombo,11 Jan 24,3.5,4,0
ZIMBABWE TOUR OF SRI LANKA 2024,2-44,ZIM,ODI,Colombo,08 Jan 24,5.5,8,0
ZIMBABWE TOUR OF SRI LANKA 2024,0-3,ZIM,ODI,Colombo,06 Jan 24,1.5,2,1
ICC CRICKET WORLD CUP 2023,1-20,NZ,ODI,Bengaluru,09 Nov 23,5,4,1
ICC CRICKET WORLD CUP 2023,0-54,BAN,ODI,Delhi,06 Nov 23,6.7,8,0
ICC CRICKET WORLD CUP 2023,1-71,IND,ODI,Mumbai,02 Nov 23,7.1,10,2
ICC CRICKET WORLD CUP 2023,0-51,AFG,ODI,Pune,30 Oct 23,5.5,9.2,0
"AFGHANISTAN TOUR OF SRI LANKA, 2023",4-63,AFG,ODI,Hambantota,07 Jun 23,7,9,0
"AFGHANISTAN TOUR OF SRI LANKA, 2023",2-18,AFG,ODI,Hambantota,04 Jun 23,2.5,7,0
ICC MENS T20 WORLD CUP 2022,3-15,UAE,T20I,Geelong,18 Oct 22,4.2,3.5,0
ICC MENS T20 WORLD CUP 2022,1-39,NAM,T20I,Geelong,16 Oct 22,9.7,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",1-49,AUS,ODI,Colombo,19 Jun 22,6.1,8,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",2-19,AUS,ODI,Pallekele,16 Jun 22,3.1,6.1,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",0-60,AUS,ODI,Pallekele,14 Jun 22,8.2,7.3,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",0-46,AUS,T20I,Pallekele,11 Jun 22,11.5,4,0
"AUSTRALIA TOUR OF SRI LANKA, 2022",1-31,AUS,T20I,Colombo,08 Jun 22,7.7,4,0
