Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,0-23,WSM,T20I,"Sano, Kanto",09 May 26,7.6,3,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,1-19,PHI,T20I,"Sano, Kanto",08 May 26,4.7,4,1
"INDONESIA TOUR OF MALAYSIA, 2026",1-19,MLY,T20I,Kuala Lumpur,05 May 26,4.7,4,0
"INDONESIA TOUR OF MALAYSIA, 2026",1-35,MLY,T20I,Kuala Lumpur,04 May 26,8.7,4,0
"INDONESIA TOUR OF MALAYSIA, 2026",1-33,MLY,T20I,Kuala Lumpur,02 May 26,8.2,4,0
"INDONESIA TOUR OF MALAYSIA, 2026",0-11,MLY,T20I,Kuala Lumpur,01 May 26,5.5,2,0
"SWEDEN TOUR OF INDONESIA, 2026",0-36,SWE,T20I,Bali,13 Apr 26,9,4,0
"SWEDEN TOUR OF INDONESIA, 2026",2-27,SWE,T20I,Bali,13 Apr 26,13.5,2,0
"SWEDEN TOUR OF INDONESIA, 2026",0-12,SWE,T20I,Bali,11 Apr 26,12,1,0
"SWEDEN TOUR OF INDONESIA, 2026",1-26,SWE,T20I,Bali,09 Apr 26,8.6,3,0
"SWEDEN TOUR OF INDONESIA, 2026",0-29,SWE,T20I,Bali,09 Apr 26,9.6,3,0
"SWEDEN TOUR OF INDONESIA, 2026",0-25,SWE,T20I,Bali,07 Apr 26,7.5,3.3,0
"SWEDEN TOUR OF INDONESIA, 2026",0-21,SWE,T20I,Bali,07 Apr 26,10.5,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-15,CBD,T20I,Bali,29 Dec 25,5,3,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-24,CBD,T20I,Bali,28 Dec 25,12,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-25,CBD,T20I,Bali,26 Dec 25,6.2,4,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-24,CBD,T20I,Bali,26 Dec 25,8,3,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-24,CBD,T20I,Bali,24 Dec 25,6,4,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-21,CBD,T20I,Bali,23 Dec 25,7,3,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-32,CBD,T20I,Bali,23 Dec 25,8,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-26,SIN,T20I,Bangkok,12 Dec 25,8.3,3.1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,1-38,PHI,T20I,Bangkok,11 Dec 25,9.5,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,2-22,MLY,T20I,Bangkok,10 Dec 25,5.5,4,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,3-5,THAI,T20I,Bangkok,09 Dec 25,1.2,4,0
"BAHRAIN TOUR OF INDONESIA, 2025",1-12,BHR,T20I,Bali,21 Nov 25,6,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",0-24,BHR,T20I,Bali,19 Nov 25,12,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",2-32,BHR,T20I,Bali,18 Nov 25,10.6,3,0
INDONESIA TRI-SERIES 2025,0-5,TLS,T20I,Bali,13 Nov 25,5,1,0
INDONESIA TRI-SERIES 2025,2-11,MMR,T20I,Bali,13 Nov 25,3.6,3,0
INDONESIA TRI-SERIES 2025,1-6,MMR,T20I,Bali,11 Nov 25,3,2,0
INDONESIA TRI-SERIES 2025,0-4,TLS,T20I,Bali,08 Nov 25,4,1,0
INDONESIA TRI-SERIES 2025,0-4,TLS,T20I,Bali,06 Nov 25,2,2,0
INDONESIA TRI-SERIES 2025,0-13,MMR,T20I,Bali,06 Nov 25,6.5,2,0
INDONESIA T20I TRI-SERIES 2025,0-21,PHI,T20I,Bali,13 Jul 25,6.7,3.1,0
INDONESIA T20I TRI-SERIES 2025,1-15,SKR,T20I,Bali,13 Jul 25,3.7,4,0
INDONESIA T20I TRI-SERIES 2025,2-20,SKR,T20I,Bali,12 Jul 25,5,4,0
INDONESIA T20I TRI-SERIES 2025,0-31,PHI,T20I,Bali,10 Jul 25,7.7,4,0
INDONESIA T20I TRI-SERIES 2025,1-9,SKR,T20I,Bali,09 Jul 25,3,3,0
INDONESIA T20I TRI-SERIES 2025,3-9,SKR,T20I,Bali,08 Jul 25,3,3,0
INDONESIA T20I TRI-SERIES 2025,3-29,PHI,T20I,Bali,07 Jul 25,7.2,4,0
INDONESIA T20I TRI-SERIES 2025,1-28,PHI,T20I,Bali,06 Jul 25,7,4,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-15,CBD,T20I,Bali,15 Jun 25,7.5,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-26,CBD,T20I,Bali,14 Jun 25,8.6,3,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-12,CBD,T20I,Bali,14 Jun 25,12,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",2-25,CBD,T20I,Bali,12 Jun 25,7.8,3.2,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-28,CBD,T20I,Bali,12 Jun 25,9,3.1,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-18,CBD,T20I,Bali,11 Jun 25,9,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",0-31,BHR,T20I,Bali,24 Feb 25,7.7,4,0
"BAHRAIN TOUR OF INDONESIA, 2025",1-38,BHR,T20I,Bali,23 Feb 25,9.5,4,0
"BAHRAIN TOUR OF INDONESIA, 2025",3-14,BHR,T20I,Bali,22 Feb 25,4.3,3.2,0
"BAHRAIN TOUR OF INDONESIA, 2025",0-5,BHR,T20I,Bali,20 Feb 25,10,0.5,0
"BAHRAIN TOUR OF INDONESIA, 2025",1-39,BHR,T20I,Bali,19 Feb 25,9.7,4,0
"MYANMAR TOUR OF INDONESIA, 2024",0-15,MMR,T20I,Bali,19 Nov 24,7.5,2,0
"MYANMAR TOUR OF INDONESIA, 2024",2-9,MMR,T20I,Bali,17 Nov 24,3,3,0
"MYANMAR TOUR OF INDONESIA, 2024",0-29,MMR,T20I,Bali,16 Nov 24,9.6,3,0
"MYANMAR TOUR OF INDONESIA, 2024",1-19,MMR,T20I,Bali,13 Nov 24,6.3,3,0
"MYANMAR TOUR OF INDONESIA, 2024",1-1,MMR,T20I,Bali,12 Nov 24,0.5,2,1
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",1-23,BTN,T20I,Gelephu,22 Oct 24,5.7,4,0
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",1-8,THAI,T20I,Gelephu,20 Oct 24,4,2,0
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",1-16,MDV,T20I,Gelephu,19 Oct 24,5.3,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0-49,JPN,T20I,Incheon,05 Oct 24,12.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0-14,PHI,T20I,Incheon,04 Oct 24,4.6,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3-18,SKR,T20I,Incheon,02 Oct 24,6,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1-19,JPN,T20I,Incheon,01 Oct 24,6.3,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",2-16,PHI,T20I,Incheon,29 Sep 24,5.3,3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3-14,SKR,T20I,Incheon,28 Sep 24,3.5,4,0
"T20I TRI-SERIES IN SOUTH KOREA, 2024",0-13,JPN,T20I,Incheon,25 Sep 24,6.5,2,0
THAILAND TOUR OF INDONESIA 2024,0-7,THAI,T20I,Bali,06 May 24,3.5,2,0
THAILAND TOUR OF INDONESIA 2024,3-27,THAI,T20I,Bali,05 May 24,6.7,4,0
THAILAND TOUR OF INDONESIA 2024,1-21,THAI,T20I,Bali,04 May 24,7,3,0
THAILAND TOUR OF INDONESIA 2024,2-14,THAI,T20I,Bali,02 May 24,4.6,3,0
THAILAND TOUR OF INDONESIA 2024,0-38,THAI,T20I,Bali,01 May 24,12.6,3,0
ACC MENS T20I CHALLENGER CUP 2024,0-33,THAI,T20I,Bangkok,07 Feb 24,11,3,0
ACC MENS T20I CHALLENGER CUP 2024,0-37,SAU,T20I,Bangkok,05 Feb 24,9.2,4,0
ACC MENS T20I CHALLENGER CUP 2024,2-20,CBD,T20I,Bangkok,03 Feb 24,5,4,0
ACC MENS T20I CHALLENGER CUP 2024,2-17,BTN,T20I,Bangkok,01 Feb 24,5.6,3,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-16,PHI,T20I,Bali,26 Dec 23,16,1,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,2-18,PHI,T20I,Bali,24 Dec 23,4.5,4,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,1-34,PHI,T20I,Bali,24 Dec 23,17,2,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,4-17,PHI,T20I,Bali,23 Dec 23,4.2,4,1
