Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,100*(47),DC,T20,Delhi,08 May 26,212.7,5,10
INDIAN PREMIER LEAGUE 2026,29(13),SRH,T20,Hyderabad,03 May 26,223,3,2
INDIAN PREMIER LEAGUE 2026,1(3),CSK,T20,Chennai,14 Apr 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,9(8),LSG,T20,Kolkata,09 Apr 26,112.5,2,0
INDIAN PREMIER LEAGUE 2026,6(7),PBKS,T20,Kolkata,06 Apr 26,85.7,1,0
INDIAN PREMIER LEAGUE 2026,28(7),SRH,T20,Kolkata,02 Apr 26,400,4,2
INDIAN PREMIER LEAGUE 2026,37(17),MI,T20,Mumbai,29 Mar 26,217.6,6,2
ICC MEN'S T20 WORLD CUP 2026,9(7),IND,T20I,Ahmedabad,08 Mar 26,128.5,1,0
ICC MEN'S T20 WORLD CUP 2026,100*(33),RSA,T20I,Kolkata,04 Mar 26,303,10,8
ICC MEN'S T20 WORLD CUP 2026,29(19),ENG,T20I,Colombo,27 Feb 26,152.6,0,3
ICC MEN'S T20 WORLD CUP 2026,23(13),SL,T20I,Colombo,25 Feb 26,176.9,3,1
ICC MEN'S T20 WORLD CUP 2026,21(8),CAN,T20I,Chennai,17 Feb 26,262.5,2,1
ICC MEN'S T20 WORLD CUP 2026,31(17),RSA,T20I,Ahmedabad,14 Feb 26,182.3,4,2
ICC MEN'S T20 WORLD CUP 2026,84*(50),UAE,T20I,Chennai,10 Feb 26,168,5,5
ICC MEN'S T20 WORLD CUP 2026,1(2),AFG,T20I,Chennai,08 Feb 26,50,0,0
"NEW ZEALAND TOUR OF INDIA, 2026",80(38),IND,T20I,Thiruvananthapuram,31 Jan 26,210.5,8,6
"PAKISTAN TOUR OF NEW ZEALAND, 2025",27(12),PAK,T20I,Wellington,26 Mar 25,225,5,1
"PAKISTAN TOUR OF NEW ZEALAND, 2025",50(20),PAK,T20I,Mount Maunganui,23 Mar 25,250,6,3
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0(3),PAK,T20I,Auckland,21 Mar 25,0,0,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",38(16),PAK,T20I,Dunedin,18 Mar 25,237.5,1,5
"PAKISTAN TOUR OF NEW ZEALAND, 2025",29*(17),PAK,T20I,Christchurch,16 Mar 25,170.5,2,2
ICC MENS T20 WORLD CUP 2024,0(2),PNG,T20I,"Tarouba, Trinidad",17 Jun 24,0,0,0
ICC MENS T20 WORLD CUP 2024,9(17),UGA,T20I,"Tarouba, Trinidad",14 Jun 24,52.9,1,0
ICC MENS T20 WORLD CUP 2024,26(23),WI,T20I,"Tarouba, Trinidad",12 Jun 24,113,3,1
ICC MENS T20 WORLD CUP 2024,0(1),AFG,T20I,Guyana,07 Jun 24,0,0,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",13(9),AUS,T20I,Auckland,25 Feb 24,144.4,0,1
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",6(6),AUS,T20I,Auckland,23 Feb 24,100,0,1
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",32(17),AUS,T20I,Wellington,21 Feb 24,188.2,2,3
"PAKISTAN TOUR OF NEW ZEALAND, 2024",22(19),PAK,T20I,Christchurch,21 Jan 24,115.7,3,1
"PAKISTAN TOUR OF NEW ZEALAND, 2024",8(4),PAK,T20I,Christchurch,19 Jan 24,200,2,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",137(62),PAK,T20I,Dunedin,17 Jan 24,220.9,5,16
"PAKISTAN TOUR OF NEW ZEALAND, 2024",74(41),PAK,T20I,Hamilton,14 Jan 24,180.4,7,5
"PAKISTAN TOUR OF NEW ZEALAND, 2024",34(15),PAK,T20I,Auckland,12 Jan 24,226.6,3,3
"BANGLADESH TOUR OF NEW ZEALAND, 2023",38(31),BAN,T20I,Mount Maunganui,31 Dec 23,122.5,4,2
"BANGLADESH TOUR OF NEW ZEALAND, 2023",2(5),BAN,T20I,Mount Maunganui,29 Dec 23,40,0,0
"BANGLADESH TOUR OF NEW ZEALAND, 2023",1(3),BAN,T20I,Napier,27 Dec 23,33.3,0,0
"NEW ZEALAND TOUR OF BANGLADESH, 2023",28(26),BAN,ODI,Dhaka,26 Sep 23,107.6,6,0
"NEW ZEALAND TOUR OF BANGLADESH, 2023",12(15),BAN,ODI,Dhaka,23 Sep 23,80,2,0
"NEW ZEALAND TOUR OF BANGLADESH, 2023",9(20),BAN,ODI,Dhaka,21 Sep 23,45,1,0
"NEW ZEALAND TOUR OF ENGLAND, 2023",0(2),ENG,ODI,Southampton,10 Sep 23,0,0,0
"NEW ZEALAND TOUR OF ENGLAND, 2023",16(6),ENG,T20I,Nottingham,05 Sep 23,266.6,3,0
"NEW ZEALAND TOUR OF ENGLAND, 2023",83(53),ENG,T20I,Birmingham,03 Sep 23,156.6,4,6
"NEW ZEALAND TOUR OF ENGLAND, 2023",3(6),ENG,T20I,Manchester,01 Sep 23,50,0,0
"NEW ZEALAND TOUR OF ENGLAND, 2023",21(15),ENG,T20I,Chester-le-Street,30 Aug 23,140,0,3
"SRI LANKA TOUR NEW ZEALAND, 2023",51(49),SL,ODI,Auckland,25 Mar 23,104,5,2
"NEW ZEALAND TOUR OF INDIA, 2023",3(4),IND,T20I,Ahmedabad,01 Feb 23,75,0,0
"NEW ZEALAND TOUR OF INDIA, 2023",11(10),IND,T20I,Lucknow,29 Jan 23,110,2,0
"NEW ZEALAND TOUR OF INDIA, 2023",35(23),IND,T20I,Ranchi,27 Jan 23,152.1,4,2
"NEW ZEALAND TOUR OF INDIA, 2023",0(2),IND,ODI,Indore,24 Jan 23,0,0,0
"NEW ZEALAND TOUR OF INDIA, 2023",0(5),IND,ODI,Raipur,21 Jan 23,0,0,0
"NEW ZEALAND TOUR OF INDIA, 2023",40(39),IND,ODI,Hyderabad,18 Jan 23,102.5,7,1
"NEW ZEALAND TOUR OF PAKISTAN, 2022-23",25(25),PAK,ODI,Karachi,13 Jan 23,100,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2022-23",1(4),PAK,ODI,Karachi,11 Jan 23,25,0,0
"NEW ZEALAND TOUR OF PAKISTAN, 2022-23",29(27),PAK,ODI,Karachi,09 Jan 23,107.4,6,0
"INDIA TOUR OF NEW ZEALAND, 2022",57(54),IND,ODI,Christchurch,30 Nov 22,105.5,8,1
"INDIA TOUR OF NEW ZEALAND, 2022",22(25),IND,ODI,Auckland,25 Nov 22,88,2,1
"INDIA TOUR OF NEW ZEALAND, 2022",3(4),IND,T20I,Napier,22 Nov 22,75,0,0
"INDIA TOUR OF NEW ZEALAND, 2022",0(2),IND,T20I,Mount Maunganui,20 Nov 22,0,0,0
ICC MENS T20 WORLD CUP 2022,4(3),PAK,T20I,Sydney,09 Nov 22,133.3,1,0
ICC MENS T20 WORLD CUP 2022,32(18),IRE,T20I,Adelaide,04 Nov 22,177.7,5,1
ICC MENS T20 WORLD CUP 2022,16(11),ENG,T20I,Brisbane,01 Nov 22,145.4,0,1
ICC MENS T20 WORLD CUP 2022,1(3),SL,T20I,Sydney,29 Oct 22,33.3,0,0
ICC MENS T20 WORLD CUP 2022,42(16),AUS,T20I,Sydney,22 Oct 22,262.5,5,3
NEW ZEALAND T20I TRI-SERIES 2022,12(6),PAK,T20I,Christchurch,14 Oct 22,200,3,0
NEW ZEALAND T20I TRI-SERIES 2022,32(19),BAN,T20I,Christchurch,12 Oct 22,168.4,3,2
NEW ZEALAND T20I TRI-SERIES 2022,62(42),PAK,T20I,Christchurch,11 Oct 22,147.6,1,6
NEW ZEALAND T20I TRI-SERIES 2022,16(18),BAN,T20I,Christchurch,09 Oct 22,88.8,1,1
NEW ZEALAND T20I TRI-SERIES 2022,13(8),PAK,T20I,Christchurch,08 Oct 22,162.5,3,0
"NEW ZEALAND TOUR OF AUSTRALIA, 2022",35(38),AUS,ODI,Cairns,11 Sep 22,92.1,5,1
"NEW ZEALAND TOUR OF WEST INDIES, 2022",3(9),WI,ODI,"Bridgetown, Barbados",21 Aug 22,33.3,0,0
"NEW ZEALAND TOUR OF WEST INDIES, 2022",96(117),WI,ODI,"Bridgetown, Barbados",19 Aug 22,82,7,3
"NEW ZEALAND TOUR OF WEST INDIES, 2022",25(24),WI,ODI,"Bridgetown, Barbados",17 Aug 22,104.1,2,2
"NEW ZEALAND TOUR OF NETHERLANDS, 2022",13(9),NED,T20I,The Hague,05 Aug 22,144.4,1,1
"NEW ZEALAND TOUR OF NETHERLANDS, 2022",8(11),NED,T20I,The Hague,04 Aug 22,72.7,0,1
"NEW ZEALAND TOUR OF SCOTLAND, 2022",50(48),SCO,ODI,Edinburgh,31 Jul 22,104.1,9,0
"NEW ZEALAND TOUR OF SCOTLAND, 2022",6(5),SCO,T20I,Edinburgh,29 Jul 22,120,0,1
"NEW ZEALAND TOUR OF SCOTLAND, 2022",101(56),SCO,T20I,Edinburgh,27 Jul 22,180.3,8,6
"NEW ZEALAND TOUR OF IRELAND, 2022",14(7),IRE,T20I,Belfast,22 Jul 22,200,2,1
"NEW ZEALAND TOUR OF IRELAND, 2022",35(20),IRE,T20I,Belfast,20 Jul 22,175,4,2
"NEW ZEALAND TOUR OF IRELAND, 2022",1(7),IRE,T20I,Belfast,18 Jul 22,14.2,0,0
"NEW ZEALAND TOUR OF IRELAND, 2022",33(28),IRE,ODI,Dublin,15 Jul 22,117.8,7,0
"NEW ZEALAND TOUR OF IRELAND, 2022",60(58),IRE,ODI,Dublin,12 Jul 22,103.4,6,3
"NEW ZEALAND TOUR OF IRELAND, 2022",6(9),IRE,ODI,Dublin,10 Jul 22,66.6,1,0
"NEW ZEALAND TOUR OF BANGLADESH, 2021",41(24),BAN,T20I,Dhaka,10 Sep 21,170.8,4,3
"NEW ZEALAND TOUR OF BANGLADESH, 2021",12(8),BAN,T20I,Dhaka,08 Sep 21,150,0,1
"NEW ZEALAND TOUR OF BANGLADESH, 2021",15(10),BAN,T20I,Dhaka,05 Sep 21,150,3,0
"BANGLADESH TOUR OF NEW ZEALAND, 2021",71(29),BAN,T20I,Auckland,01 Apr 21,244.8,10,3
"BANGLADESH TOUR OF NEW ZEALAND, 2021",17(10),BAN,T20I,Napier,30 Mar 21,170,2,1
"BANGLADESH TOUR OF NEW ZEALAND, 2021",0(1),BAN,T20I,Hamilton,28 Mar 21,0,0,0
