Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,3(10),WSM,T20I,"Sano, Kanto",09 May 26,30,0,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,0(2),PHI,T20I,"Sano, Kanto",08 May 26,0,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",7(18),MLY,T20I,Kuala Lumpur,05 May 26,38.8,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",3(16),MLY,T20I,Kuala Lumpur,04 May 26,18.7,0,0
"INDONESIA TOUR OF MALAYSIA, 2026",29(29),MLY,T20I,Kuala Lumpur,02 May 26,100,4,1
"INDONESIA TOUR OF MALAYSIA, 2026",0(8),MLY,T20I,Kuala Lumpur,01 May 26,0,0,0
"SWEDEN TOUR OF INDONESIA, 2026",48(36),SWE,T20I,Bali,13 Apr 26,133.3,4,3
"SWEDEN TOUR OF INDONESIA, 2026",32(31),SWE,T20I,Bali,13 Apr 26,103.2,3,0
"SWEDEN TOUR OF INDONESIA, 2026",34(26),SWE,T20I,Bali,11 Apr 26,130.7,5,0
"SWEDEN TOUR OF INDONESIA, 2026",0(4),SWE,T20I,Bali,11 Apr 26,0,0,0
"SWEDEN TOUR OF INDONESIA, 2026",50(38),SWE,T20I,Bali,09 Apr 26,131.5,5,1
"SWEDEN TOUR OF INDONESIA, 2026",40(41),SWE,T20I,Bali,09 Apr 26,97.5,1,2
"SWEDEN TOUR OF INDONESIA, 2026",3(2),SWE,T20I,Bali,07 Apr 26,150,0,0
"SWEDEN TOUR OF INDONESIA, 2026",12(20),SWE,T20I,Bali,07 Apr 26,60,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",78*(50),CBD,T20I,Bali,28 Dec 25,156,7,4
"CAMBODIA TOUR OF INDONESIA, 2025",19*(21),CBD,T20I,Bali,28 Dec 25,90.4,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",11*(6),CBD,T20I,Bali,26 Dec 25,183.3,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",44(35),CBD,T20I,Bali,25 Dec 25,125.7,5,1
"CAMBODIA TOUR OF INDONESIA, 2025",24(37),CBD,T20I,Bali,24 Dec 25,64.8,0,0
"CAMBODIA TOUR OF INDONESIA, 2025",6(11),CBD,T20I,Bali,23 Dec 25,54.5,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,21(22),SIN,T20I,Bangkok,12 Dec 25,95.4,1,1
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,14(11),PHI,T20I,Bangkok,11 Dec 25,127.2,2,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,4(13),MLY,T20I,Bangkok,10 Dec 25,30.7,0,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,29(28),THAI,T20I,Bangkok,09 Dec 25,103.5,2,2
"BAHRAIN TOUR OF INDONESIA, 2025",47(51),BHR,T20I,Bali,21 Nov 25,92.1,4,1
"BAHRAIN TOUR OF INDONESIA, 2025",6(17),BHR,T20I,Bali,19 Nov 25,35.2,1,0
"BAHRAIN TOUR OF INDONESIA, 2025",16*(27),BHR,T20I,Bali,18 Nov 25,59.2,2,0
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,52*(31),MMR,T20I,Bali,13 Nov 25,167.7,5,3
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,11 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,1(3),MMR,T20I,Bali,11 Nov 25,33.3,0,0
INDONESIA TRI-SERIES 2025,4(5),MMR,T20I,Bali,08 Nov 25,80,1,0
INDONESIA TRI-SERIES 2025,31*(15),TLS,T20I,Bali,06 Nov 25,206.6,4,1
INDONESIA TRI-SERIES 2025,0(3),MMR,T20I,Bali,06 Nov 25,0,0,0
INDONESIA T20I TRI-SERIES 2025,36(39),SKR,T20I,Bali,12 Jul 25,92.3,4,0
INDONESIA T20I TRI-SERIES 2025,0(1),PHI,T20I,Bali,10 Jul 25,0,0,0
INDONESIA T20I TRI-SERIES 2025,38*(19),SKR,T20I,Bali,09 Jul 25,200,5,1
INDONESIA T20I TRI-SERIES 2025,37(26),SKR,T20I,Bali,08 Jul 25,142.3,4,1
INDONESIA T20I TRI-SERIES 2025,23(16),PHI,T20I,Bali,07 Jul 25,143.7,3,0
INDONESIA T20I TRI-SERIES 2025,8(10),PHI,T20I,Bali,06 Jul 25,80,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",0(3),CBD,T20I,Bali,15 Jun 25,0,0,0
"CAMBODIA TOUR OF INDONESIA, 2025",5(4),CBD,T20I,Bali,12 Jun 25,125,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",18(18),CBD,T20I,Bali,11 Jun 25,100,3,0
"BAHRAIN TOUR OF INDONESIA, 2025",33(27),BHR,T20I,Bali,24 Feb 25,122.2,1,3
"BAHRAIN TOUR OF INDONESIA, 2025",3(4),BHR,T20I,Bali,20 Feb 25,75,0,0
"BAHRAIN TOUR OF INDONESIA, 2025",6(8),BHR,T20I,Bali,19 Feb 25,75,1,0
"MYANMAR TOUR OF INDONESIA, 2024",19(19),MMR,T20I,Bali,19 Nov 24,100,3,0
"MYANMAR TOUR OF INDONESIA, 2024",57*(29),MMR,T20I,Bali,13 Nov 24,196.5,8,1
"MYANMAR TOUR OF INDONESIA, 2024",39(34),MMR,T20I,Bali,12 Nov 24,114.7,5,0
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",5(9),THAI,T20I,Gelephu,23 Oct 24,55.5,0,0
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",10(13),BTN,T20I,Gelephu,22 Oct 24,76.9,0,1
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",5(13),THAI,T20I,Gelephu,20 Oct 24,38.4,1,0
"QUADRANGULAR T20I SERIES IN BHUTAN, 2024",0(2),MDV,T20I,Gelephu,19 Oct 24,0,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0(2),JPN,T20I,Incheon,05 Oct 24,0,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3(3),JPN,T20I,Incheon,01 Oct 24,100,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",1(5),PHI,T20I,Incheon,29 Sep 24,20,0,0
THAILAND TOUR OF INDONESIA 2024,26(18),THAI,T20I,Bali,06 May 24,144.4,1,3
THAILAND TOUR OF INDONESIA 2024,0(2),THAI,T20I,Bali,02 May 24,0,0,0
THAILAND TOUR OF INDONESIA 2024,8(8),THAI,T20I,Bali,01 May 24,100,1,0
ACC MENS T20I CHALLENGER CUP 2024,8(9),SAU,T20I,Bangkok,05 Feb 24,88.8,0,0
ACC MENS T20I CHALLENGER CUP 2024,1(10),CBD,T20I,Bangkok,03 Feb 24,10,0,0
ACC MENS T20I CHALLENGER CUP 2024,14(23),BTN,T20I,Bangkok,01 Feb 24,60.8,2,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0(2),PHI,T20I,Bali,26 Dec 23,0,0,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,9(13),PHI,T20I,Bali,23 Dec 23,69.2,1,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,65*(51),PHI,T20I,Bali,23 Dec 23,127.4,7,4
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,5(3),PHI,T20I,Bali,22 Dec 23,166.6,1,0
CAMBODIA TOUR OF INDONESIA 2023,11(17),CBD,T20I,Bali,22 Nov 23,64.7,1,0
CAMBODIA TOUR OF INDONESIA 2023,2(3),CBD,T20I,Bali,21 Nov 23,66.6,0,0
CAMBODIA TOUR OF INDONESIA 2023,4(10),CBD,T20I,Bali,21 Nov 23,40,1,0
CAMBODIA TOUR OF INDONESIA 2023,30(24),CBD,T20I,Bali,20 Nov 23,125,6,0
CAMBODIA TOUR OF INDONESIA 2023,63(32),CBD,T20I,Bali,20 Nov 23,196.8,4,6
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,17(31),MLY,T20I,Phnom Penh,02 May 23,54.8,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2023,2(4),THAI,T20I,Phnom Penh,01 May 23,50,0,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",32(20),SKR,T20I,"Sano, Kanto",18 Oct 22,160,5,1
