Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"INDONESIA TOUR OF MALAYSIA, 2026",0-12,MLY,T20I,Kuala Lumpur,04 May 26,12,1,0
"SWEDEN TOUR OF INDONESIA, 2026",1-25,SWE,T20I,Bali,07 Apr 26,8.3,3,0
"SWEDEN TOUR OF INDONESIA, 2026",0-10,SWE,T20I,Bali,07 Apr 26,10,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-0,CBD,T20I,Bali,28 Dec 25,0,0.1,0
"CAMBODIA TOUR OF INDONESIA, 2025",2-14,CBD,T20I,Bali,26 Dec 25,7,2,0
"CAMBODIA TOUR OF INDONESIA, 2025",1-29,CBD,T20I,Bali,25 Dec 25,7.2,4,0
"CAMBODIA TOUR OF INDONESIA, 2025",5-1,CBD,T20I,Bali,23 Dec 25,1,1,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-14,CBD,T20I,Bali,23 Dec 25,14,1,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-14,PHI,T20I,Bangkok,11 Dec 25,4.6,3,0
SEA GAMES MENS TWENTY20 CRICKET COMPETITION 2025,0-17,THAI,T20I,Bangkok,09 Dec 25,8.5,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",0-13,BHR,T20I,Bali,19 Nov 25,13,1,0
INDONESIA TRI-SERIES 2025,1-6,MMR,T20I,Bali,08 Nov 25,3,2,0
INDONESIA TRI-SERIES 2025,4-8,MMR,T20I,Bali,06 Nov 25,4,2,0
INDONESIA T20I TRI-SERIES 2025,0-13,PHI,T20I,Bali,10 Jul 25,13,1,0
INDONESIA T20I TRI-SERIES 2025,1-13,SKR,T20I,Bali,08 Jul 25,6.5,2,0
INDONESIA T20I TRI-SERIES 2025,1-22,PHI,T20I,Bali,07 Jul 25,5.5,4,0
INDONESIA T20I TRI-SERIES 2025,1-34,PHI,T20I,Bali,06 Jul 25,8.5,4,0
"CAMBODIA TOUR OF INDONESIA, 2025",0-14,CBD,T20I,Bali,15 Jun 25,7,2,0
"BAHRAIN TOUR OF INDONESIA, 2025",1-9,BHR,T20I,Bali,24 Feb 25,9,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",0-15,JPN,T20I,Incheon,05 Oct 24,7.5,2,0
THAILAND TOUR OF INDONESIA 2024,1-19,THAI,T20I,Bali,06 May 24,6.3,3,0
ACC MENS T20I CHALLENGER CUP 2024,0-23,SAU,T20I,Bangkok,05 Feb 24,11.5,2,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-26,PHI,T20I,Bali,26 Dec 23,13,2,0
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,2-12,PHI,T20I,Bali,23 Dec 23,3,4,1
PHILIPPINES TOUR OF INDONESIA T20I SERIES 2023,0-10,PHI,T20I,Bali,23 Dec 23,10,1,0
CAMBODIA TOUR OF INDONESIA 2023,1-14,CBD,T20I,Bali,23 Nov 23,7,2,0
CAMBODIA TOUR OF INDONESIA 2023,1-26,CBD,T20I,Bali,22 Nov 23,6.5,4,0
CAMBODIA TOUR OF INDONESIA 2023,1-2,CBD,T20I,Bali,21 Nov 23,2,1,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",0-22,SKR,T20I,"Sano, Kanto",18 Oct 22,11,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",1-16,JPN,T20I,"Sano, Kanto",16 Oct 22,16,1,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER B, 2022",1-14,SKR,T20I,"Sano, Kanto",15 Oct 22,4.6,3,0
"INDONESIA TOUR OF JAPAN, 2022",1-17,JPN,T20I,"Sano, Kanto",11 Oct 22,5.6,3,0
"INDONESIA TOUR OF JAPAN, 2022",1-16,JPN,T20I,"Sano, Kanto",10 Oct 22,8,2,0
