Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,8(4),KKR,T20,Lucknow,26 Apr 26,200,2,0
INDIAN PREMIER LEAGUE 2026,7(7),RCB,T20,Bengaluru,15 Apr 26,100,1,0
INDIAN PREMIER LEAGUE 2026,16(10),GT,T20,Lucknow,12 Apr 26,160,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",DNB,NZ,T20I,Christchurch,25 Mar 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",14*(8),NZ,T20I,Wellington,22 Mar 26,175,2,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",23(19),NZ,T20I,Auckland,20 Mar 26,121,2,1
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",33(12),NZ,T20I,Hamilton,17 Mar 26,275,3,3
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",DNB,NZ,T20I,Mount Maunganui,15 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,30*(21),ZIM,T20I,Delhi,01 Mar 26,142.8,2,1
ICC MEN'S T20 WORLD CUP 2026,DNB,UAE,T20I,Delhi,18 Feb 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,AFG,T20I,Ahmedabad,11 Feb 26,DNB,DNB,DNB
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",17(9),WI,T20I,Johannesburg,31 Jan 26,188.8,1,1
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",DNB,WI,T20I,Paarl,27 Jan 26,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF INDIA, 2025",16(8),IND,T20I,Ahmedabad,19 Dec 25,200,0,2
"SOUTH AFRICA TOUR OF INDIA, 2025",DNB,IND,T20I,New Chandigarh,11 Dec 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",DNB,PAK,ODI,Faisalabad,06 Nov 25,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",2(9),PAK,ODI,Faisalabad,04 Nov 25,22.2,0,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0(1),PAK,T20I,Lahore,01 Nov 25,0,0,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",9(13),PAK,T20I,Lahore,31 Oct 25,69.2,1,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",36(22),PAK,T20I,Rawalpindi,28 Oct 25,163.6,4,1
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",0(3),AUS,T20I,Darwin,10 Aug 25,0,0,0
"ZIMBABWE T20I TRI-SERIES, 2025",10(10),NZ,T20I,Harare,26 Jul 25,100,1,0
"ZIMBABWE T20I TRI-SERIES, 2025",23*(15),NZ,T20I,Harare,22 Jul 25,153.3,1,1
"ZIMBABWE T20I TRI-SERIES, 2025",DNB,ZIM,T20I,Harare,20 Jul 25,DNB,DNB,DNB
"ZIMBABWE T20I TRI-SERIES, 2025",30(20),NZ,T20I,Harare,16 Jul 25,150,1,2
"ZIMBABWE T20I TRI-SERIES, 2025",3*(3),ZIM,T20I,Harare,14 Jul 25,100,0,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",DNB,PAK,T20I,Centurion,13 Dec 24,DNB,DNB,DNB
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",48(24),PAK,T20I,Durban,10 Dec 24,200,3,4
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",18(24),SL,ODI,Colombo,07 Sep 21,75,2,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",9*(5),SL,ODI,Colombo,04 Sep 21,180,1,0
"SOUTH AFRICA TOUR OF IRELAND, 2021",DNB,IRE,T20I,Belfast,24 Jul 21,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF IRELAND, 2021",10(13),IRE,T20I,Dublin,19 Jul 21,76.9,1,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",DNB,WI,T20I,"St Georges, Grenada",03 Jul 21,DNB,DNB,DNB
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",6(6),WI,T20I,"St Georges, Grenada",01 Jul 21,100,1,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",0(4),WI,T20I,"St Georges, Grenada",29 Jun 21,0,0,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",3(3),WI,T20I,"St Georges, Grenada",27 Jun 21,100,0,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",0(1),WI,T20I,"St Georges, Grenada",26 Jun 21,0,0,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",3(4),PAK,T20I,Centurion,16 Apr 21,75,0,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",22(11),PAK,T20I,Centurion,14 Apr 21,200,1,2
