Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-18,KKR,T20,Lucknow,26 Apr 26,9,2,0
INDIAN PREMIER LEAGUE 2026,0-9,RCB,T20,Bengaluru,15 Apr 26,8.1,1.1,0
INDIAN PREMIER LEAGUE 2026,0-28,GT,T20,Lucknow,12 Apr 26,9.3,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",0-11,NZ,T20I,Christchurch,25 Mar 26,5.5,2,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",0-15,NZ,T20I,Wellington,22 Mar 26,15,1,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",0-22,NZ,T20I,Auckland,20 Mar 26,7.3,3,0
"SOUTH AFRICA TOUR OF NEW ZEALAND, 2026",1-33,NZ,T20I,Hamilton,17 Mar 26,11,3,0
ICC MEN'S T20 WORLD CUP 2026,1-22,ZIM,T20I,Delhi,01 Mar 26,7.3,3,0
ICC MEN'S T20 WORLD CUP 2026,1-17,UAE,T20I,Delhi,18 Feb 26,4.2,4,0
ICC MEN'S T20 WORLD CUP 2026,1-39,AFG,T20I,Ahmedabad,11 Feb 26,13,3,0
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",0-9,WI,T20I,Johannesburg,31 Jan 26,4.5,2,0
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",3-25,WI,T20I,Paarl,27 Jan 26,6.2,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",1-46,IND,T20I,Ahmedabad,19 Dec 25,11.5,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-23,IND,T20I,New Chandigarh,11 Dec 25,7.6,3,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-19,PAK,ODI,Faisalabad,06 Nov 25,9.5,2,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",1-49,PAK,ODI,Faisalabad,04 Nov 25,6.1,8,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-20,PAK,T20I,Lahore,01 Nov 25,5,4,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-11,PAK,T20I,Lahore,31 Oct 25,5.5,2,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",3-31,PAK,T20I,Rawalpindi,28 Oct 25,10.3,3,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",1-26,AUS,T20I,Darwin,10 Aug 25,13,2,0
"ZIMBABWE T20I TRI-SERIES, 2025",0-9,NZ,T20I,Harare,26 Jul 25,9,1,0
"ZIMBABWE T20I TRI-SERIES, 2025",0-30,NZ,T20I,Harare,22 Jul 25,10,3,0
"ZIMBABWE T20I TRI-SERIES, 2025",0-33,ZIM,T20I,Harare,20 Jul 25,11,3,0
"ZIMBABWE T20I TRI-SERIES, 2025",0-13,NZ,T20I,Harare,16 Jul 25,13,1,0
"ZIMBABWE T20I TRI-SERIES, 2025",3-10,ZIM,T20I,Harare,14 Jul 25,3.3,3,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",1-28,PAK,T20I,Centurion,13 Dec 24,7,4,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",4-21,PAK,T20I,Durban,10 Dec 24,5.2,4,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",2-32,SL,ODI,Colombo,07 Sep 21,3.2,10,1
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",1-40,SL,ODI,Colombo,04 Sep 21,8,5,0
"SOUTH AFRICA TOUR OF IRELAND, 2021",2-21,IRE,T20I,Belfast,24 Jul 21,5.2,4,0
"SOUTH AFRICA TOUR OF IRELAND, 2021",2-26,IRE,T20I,Dublin,19 Jul 21,6.5,4,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",1-33,WI,T20I,"St Georges, Grenada",03 Jul 21,11,3,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",2-16,WI,T20I,"St Georges, Grenada",01 Jul 21,4,4,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",1-33,WI,T20I,"St Georges, Grenada",29 Jun 21,11,3,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",2-19,WI,T20I,"St Georges, Grenada",27 Jun 21,4.7,4,0
"SOUTH AFRICA TOUR OF WEST INDIES, 2021",0-24,WI,T20I,"St Georges, Grenada",26 Jun 21,12,2,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",0-3,PAK,T20I,Centurion,16 Apr 21,3,1,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",0-38,PAK,T20I,Centurion,14 Apr 21,9.5,4,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",3-23,PAK,T20I,Johannesburg,12 Apr 21,5.7,4,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2021",0-31,PAK,T20I,Johannesburg,10 Apr 21,10.3,3,0
