Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",5(3),MLYW,T20I,Mong Kok,08 May 26,166.6,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",8*(12),HKC W,T20I,Mong Kok,08 May 26,66.6,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0(1),MLYW,T20I,Mong Kok,07 May 26,0,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MGLW,T20I,Hangzhou,25 Sep 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,15(15),HKC W,T20I,Hangzhou,23 Sep 25,100,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,10(25),MMRW,T20I,Hangzhou,22 Sep 25,40,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MGLW,T20I,Hangzhou,20 Sep 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1*(1),PHIW,T20I,"Sano, Kanto",08 Jun 25,100,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,13(16),JPNW,T20I,"Sano, Kanto",06 Jun 25,81.2,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,MGLW,T20I,"Sano, Kanto",05 Jun 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,PHIW,T20I,"Sano, Kanto",04 Jun 25,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",12(7),HKC W,T20I,Mong Kok,08 Dec 24,171.4,2,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2(3),THAIW,T20I,Mong Kok,07 Dec 24,66.6,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",11(12),NAMW,T20I,Mong Kok,05 Dec 24,91.6,2,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",8(14),HKC W,T20I,Mong Kok,04 Dec 24,57.1,1,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",5(4),HKC W,T20I,Hangzhou,10 Nov 24,125,1,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",8*(8),MMRW,T20I,Hangzhou,09 Nov 24,100,1,0
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,11 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,HKC W,T20I,Incheon,09 Oct 24,DNB,DNB,DNB
