Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-25,RR,T20,New Chandigarh,28 Apr 26,6.2,4,0
INDIAN PREMIER LEAGUE 2025,0-18,RCB,T20,New Chandigarh,29 May 25,9,2,0
INDIAN PREMIER LEAGUE 2025,1-36,MI,T20,Jaipur,26 May 25,9,4,0
INDIAN PREMIER LEAGUE 2025,2-41,DC,T20,Jaipur,24 May 25,10.2,4,0
INDIAN PREMIER LEAGUE 2025,3-22,RR,T20,Jaipur,18 May 25,5.5,4,0
INDIAN PREMIER LEAGUE 2025,1-21,CSK,T20,Chennai,30 Apr 25,10.5,2,0
INDIAN PREMIER LEAGUE 2025,1-27,RCB,T20,New Chandigarh,20 Apr 25,6.7,4,0
INDIAN PREMIER LEAGUE 2025,2-25,RCB,T20,Bengaluru,18 Apr 25,12.5,2,0
INDIAN PREMIER LEAGUE 2024,1-36,SRH,T20,Hyderabad,19 May 24,12,3,0
INDIAN PREMIER LEAGUE 2024,0-10,RR,T20,Guwahati,15 May 24,10,1,0
INDIAN PREMIER LEAGUE 2024,0-19,CSK,T20,Dharamsala,05 May 24,19,1,0
INDIAN PREMIER LEAGUE 2024,2-17,CSK,T20,Chennai,01 May 24,4.2,4,0
INDIAN PREMIER LEAGUE 2024,0-21,KKR,T20,Kolkata,26 Apr 24,10.5,2,0
INDIAN PREMIER LEAGUE 2024,0-35,GT,T20,New Chandigarh,21 Apr 24,8.7,4,0
INDIAN PREMIER LEAGUE 2024,0-21,MI,T20,New Chandigarh,18 Apr 24,7,3,0
INDIAN PREMIER LEAGUE 2024,0-22,RR,T20,New Chandigarh,13 Apr 24,7.3,3,0
INDIAN PREMIER LEAGUE 2024,0-48,SRH,T20,New Chandigarh,09 Apr 24,12,4,0
INDIAN PREMIER LEAGUE 2024,1-33,GT,T20,Ahmedabad,04 Apr 24,8.2,4,0
INDIAN PREMIER LEAGUE 2024,0-14,LSG,T20,Lucknow,30 Mar 24,7,2,0
INDIAN PREMIER LEAGUE 2024,2-13,RCB,T20,Bengaluru,25 Mar 24,3.2,4,0
INDIAN PREMIER LEAGUE 2024,1-14,DC,T20,New Chandigarh,23 Mar 24,4.6,3,0
INDIAN PREMIER LEAGUE 2023,0-39,DC,T20,Dharamsala,17 May 23,13,3,0
INDIAN PREMIER LEAGUE 2023,4-30,DC,T20,Delhi,13 May 23,7.5,4,0
INDIAN PREMIER LEAGUE 2023,1-4,KKR,T20,Kolkata,08 May 23,4,1,0
INDIAN PREMIER LEAGUE 2023,0-21,MI,T20,Mohali,03 May 23,10.5,2,0
INDIAN PREMIER LEAGUE 2023,0-15,MI,T20,Mumbai,22 Apr 23,7.5,2,0
INDIAN PREMIER LEAGUE 2023,2-31,RCB,T20,Mohali,20 Apr 23,10.3,3,0
INDIAN PREMIER LEAGUE 2023,1-10,LSG,T20,Lucknow,15 Apr 23,5,2,0
INDIAN PREMIER LEAGUE 2023,1-20,GT,T20,Mohali,13 Apr 23,5,4,0
INDIAN PREMIER LEAGUE 2023,0-26,SRH,T20,Hyderabad,09 Apr 23,8.3,3.1,0
INDIAN PREMIER LEAGUE 2023,0-15,RR,T20,Guwahati,05 Apr 23,7.5,2,0
INDIAN PREMIER LEAGUE 2023,0-7,KKR,T20,Mohali,01 Apr 23,7,1,0
INDIAN PREMIER LEAGUE 2022,3-26,SRH,T20,Mumbai,22 May 22,6.5,4,0
INDIAN PREMIER LEAGUE 2022,0-29,DC,T20,Navi Mumbai,16 May 22,9.6,3,0
INDIAN PREMIER LEAGUE 2022,1-33,RCB,T20,Mumbai,13 May 22,8.2,4,0
INDIAN PREMIER LEAGUE 2022,0-20,KKR,T20,Mumbai,01 Apr 22,10,2,0
INDIAN PREMIER LEAGUE 2022,0-38,RCB,T20,Navi Mumbai,27 Mar 22,12.6,3,0
INDIAN PREMIER LEAGUE 2021,0-22,CSK,T20,Dubai,07 Oct 21,5.5,4,0
INDIAN PREMIER LEAGUE 2021,0-26,RCB,T20,Sharjah,03 Oct 21,6.5,4,0
INDIAN PREMIER LEAGUE 2021,0-11,MI,T20,Abu Dhabi,28 Sep 21,11,1,0
INDIAN PREMIER LEAGUE 2021,0-25,SRH,T20,Sharjah,25 Sep 21,6.2,4,0
INDIAN PREMIER LEAGUE 2021,1-17,RR,T20,Dubai,21 Sep 21,5.6,3,0
INDIAN PREMIER LEAGUE 2021,1-19,DC,T20,Ahmedabad,02 May 21,6.3,3,0
INDIAN PREMIER LEAGUE 2021,3-19,RCB,T20,Ahmedabad,30 Apr 21,4.7,4,1
INDIAN PREMIER LEAGUE 2020,0-41,CSK,T20,Dubai,04 Oct 20,10.2,4,0
INDIAN PREMIER LEAGUE 2019,0-24,CSK,T20,Mohali,05 May 19,8,3,0
INDIAN PREMIER LEAGUE 2019,0-24,DC,T20,Delhi,20 Apr 19,12,2,0
