Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,29 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Hyderabad,21 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Hyderabad,13 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1*(2),PBKS,T20,New Chandigarh,11 Apr 26,50,0,0
INDIAN PREMIER LEAGUE 2026,0(1),LSG,T20,Hyderabad,05 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,9*(3),KKR,T20,Kolkata,02 Apr 26,300,2,0
INDIAN PREMIER LEAGUE 2026,3(3),RCB,T20,Bengaluru,28 Mar 26,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Delhi,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Lucknow,23 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,19 May 25,DNB,DNB,DNB
