Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,6(5),KKR,T20,Hyderabad,03 May 26,120,1,0
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,New Chandigarh,11 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,4(2),LSG,T20,Hyderabad,05 Apr 26,200,1,0
INDIAN PREMIER LEAGUE 2026,0(2),RCB,T20,Bengaluru,28 Mar 26,0,0,0
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Delhi,25 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Lucknow,23 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,19 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,02 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,25 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(1),MI,T20,Hyderabad,23 Apr 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Mumbai,17 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Hyderabad,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,3(5),KKR,T20,Kolkata,03 Apr 25,60,0,0
INDIAN PREMIER LEAGUE 2025,5(9),DC,T20,Visakhapatnam,30 Mar 25,55.5,0,0
INDIAN PREMIER LEAGUE 2025,12*(11),LSG,T20,Hyderabad,27 Mar 25,109,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Hyderabad,23 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Hyderabad,19 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,Guwahati,15 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,0(1),RCB,T20,Dharamsala,09 May 24,0,0,0
INDIAN PREMIER LEAGUE 2024,12(13),CSK,T20,Dharamsala,05 May 24,92.3,1,1
INDIAN PREMIER LEAGUE 2024,DNB,CSK,T20,Chennai,01 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Kolkata,26 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,0(1),GT,T20,New Chandigarh,21 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,1*(4),MI,T20,New Chandigarh,18 Apr 24,25,0,0
INDIAN PREMIER LEAGUE 2024,DNB,RR,T20,New Chandigarh,13 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,New Chandigarh,09 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Ahmedabad,04 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Lucknow,30 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,25 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,DC,T20,New Chandigarh,23 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Bengaluru,21 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,SRH,T20,Hyderabad,18 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Jaipur,14 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Mumbai,09 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Delhi,06 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Lucknow,01 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,KKR,T20,Bengaluru,26 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,RR,T20,Bengaluru,23 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,PBKS,T20,Mohali,20 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,CSK,T20,Bengaluru,17 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,6(4),DC,T20,Bengaluru,15 Apr 23,150,0,1
INDIAN PREMIER LEAGUE 2023,DNB,LSG,T20,Bengaluru,10 Apr 23,DNB,DNB,DNB
