Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-17,KKR,T20,Hyderabad,03 May 26,8.5,2,0
INDIAN PREMIER LEAGUE 2026,0-39,PBKS,T20,New Chandigarh,11 Apr 26,19.5,2,0
INDIAN PREMIER LEAGUE 2026,0-16,LSG,T20,Hyderabad,05 Apr 26,5.3,3,0
INDIAN PREMIER LEAGUE 2026,0-39,RCB,T20,Bengaluru,28 Mar 26,16.2,2.4,0
INDIAN PREMIER LEAGUE 2025,0-21,KKR,T20,Delhi,25 May 25,10.5,2,0
INDIAN PREMIER LEAGUE 2025,1-39,RCB,T20,Lucknow,23 May 25,11.1,3.5,0
INDIAN PREMIER LEAGUE 2025,1-49,LSG,T20,Lucknow,19 May 25,12.2,4,0
INDIAN PREMIER LEAGUE 2025,1-36,DC,T20,Hyderabad,05 May 25,9,4,0
INDIAN PREMIER LEAGUE 2025,0-41,GT,T20,Ahmedabad,02 May 25,13.6,3,0
INDIAN PREMIER LEAGUE 2025,4-28,CSK,T20,Chennai,25 Apr 25,7,4,0
INDIAN PREMIER LEAGUE 2025,0-21,MI,T20,Hyderabad,23 Apr 25,7,3,0
INDIAN PREMIER LEAGUE 2025,1-31,MI,T20,Mumbai,17 Apr 25,10.3,3,0
INDIAN PREMIER LEAGUE 2025,4-42,PBKS,T20,Hyderabad,12 Apr 25,10.5,4,0
INDIAN PREMIER LEAGUE 2025,1-43,KKR,T20,Kolkata,03 Apr 25,10.7,4,0
INDIAN PREMIER LEAGUE 2025,0-17,DC,T20,Visakhapatnam,30 Mar 25,5.6,3,0
INDIAN PREMIER LEAGUE 2025,1-28,LSG,T20,Hyderabad,27 Mar 25,14,2,0
INDIAN PREMIER LEAGUE 2025,2-34,RR,T20,Hyderabad,23 Mar 25,8.5,4,0
INDIAN PREMIER LEAGUE 2024,2-49,SRH,T20,Hyderabad,19 May 24,12.2,4,0
INDIAN PREMIER LEAGUE 2024,2-28,RR,T20,Guwahati,15 May 24,7,4,0
INDIAN PREMIER LEAGUE 2024,3-38,RCB,T20,Dharamsala,09 May 24,9.5,4,0
INDIAN PREMIER LEAGUE 2024,3-24,CSK,T20,Dharamsala,05 May 24,6,4,0
INDIAN PREMIER LEAGUE 2024,0-12,CSK,T20,Chennai,01 May 24,12,1,0
INDIAN PREMIER LEAGUE 2024,1-48,KKR,T20,Kolkata,26 Apr 24,16,3,0
INDIAN PREMIER LEAGUE 2024,3-15,GT,T20,New Chandigarh,21 Apr 24,5,3,0
INDIAN PREMIER LEAGUE 2024,3-31,MI,T20,New Chandigarh,18 Apr 24,7.7,4,0
INDIAN PREMIER LEAGUE 2024,1-21,RR,T20,New Chandigarh,13 Apr 24,10.5,2,0
INDIAN PREMIER LEAGUE 2024,2-30,SRH,T20,New Chandigarh,09 Apr 24,7.5,4,0
INDIAN PREMIER LEAGUE 2024,1-44,GT,T20,Ahmedabad,04 Apr 24,11,4,0
INDIAN PREMIER LEAGUE 2024,0-45,LSG,T20,Lucknow,30 Mar 24,11.2,4,0
INDIAN PREMIER LEAGUE 2024,1-45,RCB,T20,Bengaluru,25 Mar 24,11.2,4,0
INDIAN PREMIER LEAGUE 2024,2-47,DC,T20,New Chandigarh,23 Mar 24,11.7,4,0
